,Conta,Descrição,31/12/2019,31/12/2018,01/01/2019 a 31/12/2019,01/01/2018 a 31/12/2018
0,1,Ativo Total,10.567.762,9.696.399,,
1,1.01,Ativo Circulante,2.610.950,2.096.037,,
2,1.01.01,Caixa e Equivalentes de Caixa,303.062,267.076,,
3,1.01.02,Aplicações Financeiras,106.258,81.777,,
4,1.01.02.01,Aplicações Financeiras Avaliadas a Valor Justo através do Resultado,106.258,81.777,,
5,1.01.02.01.01,Títulos para Negociação,,,,
6,1.01.02.01.02,Títulos Designados a Valor Justo,,,,
7,1.01.02.01.03,Títulos e Valores Mobiliários,106.258,81.777,,
8,1.01.02.02,Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes,,,,
9,1.01.02.03,Aplicações Financeiras Avaliadas ao Custo Amortizado,,,,
10,1.01.03,Contas a Receber,1.468.059,914.449,,
11,1.01.03.01,Clientes,1.468.059,914.449,,
12,1.01.03.01.01,Consumidores e outras contas a receber,2.185.311,1.631.701,,
13,1.01.03.01.02,PECLD sobre contas a receber,-724.356,-724.356,,
14,1.01.03.01.03,Subvenção de Baixa Renda,7.104,7.104,,
15,1.01.03.02,Outras Contas a Receber,,,,
16,1.01.03.02.01,Ativos financeiros setoriais,,,,
17,1.01.03.02.02,Subvenção CDE - desconto tarifário,,,,
18,1.01.03.02.03,Serviço em curso,,,,
19,1.01.03.02.04,Consumidores - serviços prestados,,,,
20,1.01.04,Estoques,,,,
21,1.01.05,Ativos Biológicos,,,,
22,1.01.06,Tributos a Recuperar,143.446,145.833,,
23,1.01.06.01,Tributos Correntes a Recuperar,143.446,145.833,,
24,1.01.07,Despesas Antecipadas,,,,
25,1.01.08,Outros Ativos Circulantes,590.125,686.902,,
26,1.01.08.01,Ativos Não-Correntes a Venda,,,,
27,1.01.08.02,Ativos de Operações Descontinuadas,,,,
28,1.01.08.03,Outros,590.125,686.902,,
29,1.01.08.03.01,Serviço em curso,32.788,55.270,,
30,1.01.08.03.02,Outros Créditos,108.455,66.468,,
31,1.01.08.03.03,Instrumentos financeiros derivativos - swap,14.953,13.766,,
32,1.01.08.03.04,Subvenção CDE - desconto tarifário,295.867,322.098,,
33,1.01.08.03.05,Ativos financeiros setoriais,138.062,229.300,,
34,1.02,Ativo Não Circulante,7.956.812,7.600.362,,
35,1.02.01,Ativo Realizável a Longo Prazo,5.200.203,4.865.897,,
36,1.02.01.01,Aplicações Financeiras Avaliadas a Valor Justo através do Resultado,,,,
37,1.02.01.01.01,Títulos Designados a Valor Justo,,,,
38,1.02.01.02,Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes,,,,
39,1.02.01.03,Aplicações Financeiras Avaliadas ao Custo Amortizado,,,,
40,1.02.01.04,Contas a Receber,24.126,34.593,,
41,1.02.01.04.01,Consumidores e outras contas a receber,24.126,34.593,,
42,1.02.01.04.02,Outras Contas a Receber,,,,
43,1.02.01.05,Estoques,,,,
44,1.02.01.06,Ativos Biológicos,,,,
45,1.02.01.07,Tributos Diferidos,276.807,322.338,,
46,1.02.01.07.01,Imposto de Renda e Contribuição Social Diferidos,276.807,322.338,,
47,1.02.01.08,Despesas Antecipadas,,,,
48,1.02.01.09,Créditos com Partes Relacionadas,,,,
49,1.02.01.09.01,Créditos com Coligadas,,,,
50,1.02.01.09.02,Créditos com Controladas,,,,
51,1.02.01.09.03,Créditos com Controladores,,,,
52,1.02.01.09.04,Créditos com Outras Partes Relacionadas,,,,
53,1.02.01.10,Outros Ativos Não Circulantes,4.899.270,4.508.966,,
