,Conta,Descrição,31/12/2012,31/12/2011,01/01/2012 a 31/12/2012,01/01/2011 a 31/12/2011
0,1,Ativo Total,5.229.122,4.658.509,,
1,1.01,Ativo Circulante,854.107,817.174,,
2,1.01.01,Caixa e Equivalentes de Caixa,20.813,59.488,,
3,1.01.02,Aplicações Financeiras,30.925,165,,
4,1.01.02.01,Aplicações Financeiras Avaliadas a Valor Justo,30.925,165,,
5,1.01.02.01.01,Títulos para Negociação,,,,
6,1.01.02.01.02,Títulos Disponíveis para Venda,,,,
7,1.01.02.01.03,Títulos e Valores Mobiliários,30.925,165,,
8,1.01.02.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,,,,
9,1.01.02.02.01,Títulos Mantidos até o Vencimento,,,,
10,1.01.03,Contas a Receber,598.386,557.799,,
11,1.01.03.01,Clientes,583.534,535.642,,
12,1.01.03.01.01,"Consumidores, Concessionários e Permissionários",687.950,642.011,,
13,1.01.03.01.02,(-) Provisão para Créditos de Liquidação Duvidosa,-107.213,-110.201,,
14,1.01.03.01.03,Energia livre,2.797,3.832,,
15,1.01.03.02,Outras Contas a Receber,14.852,22.157,,
16,1.01.03.02.01,Partes Relacionadas,,,,
17,1.01.03.02.02,Subvenção de Baixa Renda,14.852,22.157,,
18,1.01.04,Estoques,388,740,,
19,1.01.05,Ativos Biológicos,,,,
20,1.01.06,Tributos a Recuperar,44.298,99.904,,
21,1.01.06.01,Tributos Correntes a Recuperar,44.298,99.904,,
22,1.01.07,Despesas Antecipadas,2.091,439,,
23,1.01.08,Outros Ativos Circulantes,157.206,98.639,,
24,1.01.08.01,Ativos Não-Correntes a Venda,,,,
25,1.01.08.02,Ativos de Operações Descontinuadas,,,,
26,1.01.08.03,Outros,157.206,98.639,,
27,1.01.08.03.01,Cauções e Depósitos,28.022,26.748,,
28,1.01.08.03.02,Outros Créditos,129.184,71.891,,
29,1.02,Ativo Não Circulante,4.375.015,3.841.335,,
30,1.02.01,Ativo Realizável a Longo Prazo,1.698.836,1.234.435,,
31,1.02.01.01,Aplicações Financeiras Avaliadas a Valor Justo,,,,
32,1.02.01.01.01,Títulos para Negociação,,,,
33,1.02.01.01.02,Títulos Disponíveis para Venda,,,,
34,1.02.01.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,,,,
35,1.02.01.02.01,Títulos Mantidos até o Vencimento,,,,
36,1.02.01.03,Contas a Receber,28.163,20.867,,
37,1.02.01.03.01,Clientes,28.163,20.867,,
38,1.02.01.03.02,Outras Contas a Receber,,,,
39,1.02.01.04,Estoques,,,,
40,1.02.01.05,Ativos Biológicos,,,,
41,1.02.01.06,Tributos Diferidos,389.237,408.307,,
42,1.02.01.06.01,Imposto de Renda e Contribuição Social Diferidos,389.237,408.307,,
43,1.02.01.07,Despesas Antecipadas,,,,
44,1.02.01.08,Créditos com Partes Relacionadas,235,659,,
45,1.02.01.08.01,Créditos com Coligadas,,,,
46,1.02.01.08.02,Créditos com Controladas,,,,
47,1.02.01.08.03,Créditos com Controladores,,,,
