,Conta,Descrição,31/12/2012,31/12/2011,01/01/2012 a 31/12/2012,01/01/2011 a 31/12/2011
0,1,Ativo Total,93.21,92.069,,
1,1.01,Ativo Circulante,79.057,70.20100000000001,,
2,1.01.01,Caixa e Equivalentes de Caixa,36.976,34.728,,
3,1.01.02,Aplicações Financeiras,2.249,2.673,,
4,1.01.02.01,Aplicações Financeiras Avaliadas a Valor Justo,,,,
5,1.01.02.01.01,Títulos para Negociação,,,,
6,1.01.02.01.02,Títulos Disponíveis para Venda,,,,
7,1.01.02.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,2.249,2.673,,
8,1.01.02.02.01,Títulos Mantidos até o Vencimento,2.249,2.673,,
9,1.01.03,Contas a Receber,4.569,4.6610000000000005,,
10,1.01.03.01,Clientes,4.569,4.6610000000000005,,
11,1.01.03.02,Outras Contas a Receber,,,,
12,1.01.04,Estoques,214.0,214.0,,
13,1.01.05,Ativos Biológicos,,,,
14,1.01.06,Tributos a Recuperar,1.091,757.0,,
15,1.01.06.01,Tributos Correntes a Recuperar,1.091,757.0,,
16,1.01.07,Despesas Antecipadas,186.0,104.0,,
17,1.01.08,Outros Ativos Circulantes,33.772,27.064,,
18,1.01.08.01,Ativos Não-Correntes a Venda,,,,
19,1.01.08.02,Ativos de Operações Descontinuadas,,,,
20,1.01.08.03,Outros,33.772,27.064,,
21,1.01.08.03.01,Serviços em curso,,,,
22,1.01.08.03.02,Concessão do serviço público (ativo financeiro),29.338,27.064,,
23,1.01.08.03.03,Adiantamento a fornecedores,4.434,0.0,,
24,1.02,Ativo Não Circulante,14.152999999999999,21.868000000000002,,
25,1.02.01,Ativo Realizável a Longo Prazo,14.152999999999999,21.868000000000002,,
26,1.02.01.01,Aplicações Financeiras Avaliadas a Valor Justo,,,,
27,1.02.01.01.01,Títulos para Negociação,,,,
28,1.02.01.01.02,Títulos Disponíveis para Venda,,,,
29,1.02.01.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,,,,
30,1.02.01.02.01,Títulos Mantidos até o Vencimento,,,,
31,1.02.01.03,Contas a Receber,,,,
32,1.02.01.03.01,Clientes,,,,
33,1.02.01.03.02,Outras Contas a Receber,,,,
34,1.02.01.04,Estoques,,,,
35,1.02.01.05,Ativos Biológicos,,,,
36,1.02.01.06,Tributos Diferidos,33.0,20.0,,
37,1.02.01.06.01,Imposto de Renda e Contribuição Social Diferidos,,,,
38,1.02.01.06.02,Impostos e contribuições a recuperar,33.0,20.0,,
39,1.02.01.07,Despesas Antecipadas,,,,
40,1.02.01.08,Créditos com Partes Relacionadas,0.0,4.258,,
41,1.02.01.08.01,Créditos com Coligadas,0.0,4.258,,
42,1.02.01.08.02,Créditos com Controladas,,,,
43,1.02.01.08.03,Créditos com Controladores,,,,
44,1.02.01.08.04,Créditos com Outras Partes Relacionadas,,,,
45,1.02.01.09,Outros Ativos Não Circulantes,14.12,17.59,,
46,1.02.01.09.01,Ativos Não-Correntes a Venda,,,,
47,1.02.01.09.02,Ativos de Operações Descontinuadas,,,,
48,1.02.01.09.03,Depósitos judiciais,6.0,6.0,,
49,1.02.01.09.04,Concessão do serviço público (ativo financeiro),14.013,17.483,,
50,1.02.01.09.05,Outros investimentos,101.0,101.0,,
51,1.02.02,Investimentos,,,,
52,1.02.02.01,Participações Societárias,,,,
53,1.02.02.01.01,Participações em Coligadas,,,,
54,1.02.02.01.02,Participações em Controladas,,,,
55,1.02.02.01.03,Participações em Controladas em Conjunto,,,,
56,1.02.02.01.04,Outras Participações Societárias,,,,
57,1.02.02.02,Propriedades para Investimento,,,,
58,1.02.03,Imobilizado,,,,
59,1.02.03.01,Imobilizado em Operação,,,,
60,1.02.03.02,Imobilizado Arrendado,,,,
61,1.02.03.03,Imobilizado em Andamento,,,,
62,1.02.04,Intangível,,,,
63,1.02.04.01,Intangíveis,,,,
64,1.02.04.01.01,Contrato de Concessão,,,,
65,1.02.05,Diferido,,,,
66,2,Passivo Total,93.21,92.069,,
67,2.01,Passivo Circulante,9.993,6.754,,
68,2.01.01,Obrigações Sociais e Trabalhistas,,,,
69,2.01.01.01,Obrigações Sociais,,,,
70,2.01.01.02,Obrigações Trabalhistas,,,,
71,2.01.02,Fornecedores,3.208,131.0,,
72,2.01.02.01,Fornecedores Nacionais,3.208,131.0,,
73,2.01.02.02,Fornecedores Estrangeiros,,,,
74,2.01.03,Obrigações Fiscais,807.0,1.0270000000000001,,
75,2.01.03.01,Obrigações Fiscais Federais,640.0,832.0,,
76,2.01.03.01.01,Imposto de Renda e Contribuição Social a Pagar,359.0,594.0,,
77,2.01.03.01.02,Programa de Integração Social - PIS,20.0,32.0,,
78,2.01.03.01.03,Contribuição para o Financiamento da Seguridade Social - COFINS,91.0,98.0,,
79,2.01.03.01.04,Instituto Nacional da Seguridade Social - INSS,119.0,71.0,,
80,2.01.03.01.05,Outros,51.0,37.0,,
81,2.01.03.02,Obrigações Fiscais Estaduais,0.0,40.0,,
82,2.01.03.03,Obrigações Fiscais Municipais,167.0,155.0,,
83,2.01.04,Empréstimos e Financiamentos,533.0,258.0,,
84,2.01.04.01,Empréstimos e Financiamentos,533.0,258.0,,
85,2.01.04.01.01,Em Moeda Nacional,533.0,258.0,,
86,2.01.04.01.02,Em Moeda Estrangeira,,,,
87,2.01.04.02,Debêntures,,,,
88,2.01.04.03,Financiamento por Arrendamento Financeiro,,,,
89,2.01.05,Outras Obrigações,5.445,5.337999999999999,,
90,2.01.05.01,Passivos com Partes Relacionadas,1.078,0.0,,
91,2.01.05.01.01,Débitos com Coligadas,,,,
92,2.01.05.01.02,Débitos com Controladas,,,,
93,2.01.05.01.03,Débitos com Controladores,,,,
94,2.01.05.01.04,Débitos com Outras Partes Relacionadas,1.078,0.0,,
95,2.01.05.02,Outros,4.367,5.337999999999999,,
96,2.01.05.02.01,Dividendos e JCP a Pagar,0.0,15.0,,
