,Conta,Descrição,31/12/2013,31/12/2012,01/01/2013 a 31/12/2013,01/01/2012 a 31/12/2012
0,1,Ativo Total,5.712.410,5.229.122,,
1,1.01,Ativo Circulante,1.191.490,854.107,,
2,1.01.01,Caixa e Equivalentes de Caixa,173.394,20.813,,
3,1.01.02,Aplicações Financeiras,63.592,30.925,,
4,1.01.02.01,Aplicações Financeiras Avaliadas a Valor Justo,63.592,30.925,,
5,1.01.02.01.01,Títulos para Negociação,,,,
6,1.01.02.01.02,Títulos Disponíveis para Venda,,,,
7,1.01.02.01.03,Títulos e Valores Mobiliários,63.592,30.925,,
8,1.01.02.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,,,,
9,1.01.02.02.01,Títulos Mantidos até o Vencimento,,,,
10,1.01.03,Contas a Receber,552.952,598.386,,
11,1.01.03.01,Clientes,520.727,583.534,,
12,1.01.03.01.01,"Consumidores, Concessionários e Permissionários",620.877,687.950,,
13,1.01.03.01.02,(-) Provisão para Créditos de Liquidação Duvidosa,-102.979,-107.213,,
14,1.01.03.01.03,Partes Relacionadas,54,0,,
15,1.01.03.01.04,Encargo Emergencial,2.775,2.797,,
16,1.01.03.02,Outras Contas a Receber,32.225,14.852,,
17,1.01.03.02.01,Subvenção de Baixa Renda,20.388,14.852,,
18,1.01.03.02.02,Subvenção CDE - Desconto Tarifário,8.706,0,,
19,1.01.03.02.03,Recursos CDE - Decreto nº 7.945/13,3.131,0,,
20,1.01.04,Estoques,177,388,,
21,1.01.05,Ativos Biológicos,,,,
22,1.01.06,Tributos a Recuperar,186.799,44.298,,
23,1.01.06.01,Tributos Correntes a Recuperar,186.799,44.298,,
24,1.01.07,Despesas Antecipadas,7.734,2.091,,
25,1.01.08,Outros Ativos Circulantes,206.842,157.206,,
26,1.01.08.01,Ativos Não-Correntes a Venda,,,,
27,1.01.08.02,Ativos de Operações Descontinuadas,,,,
28,1.01.08.03,Outros,206.842,157.206,,
29,1.01.08.03.01,Cauções e Depósitos,27.564,28.022,,
