,Conta,Descrição,31/12/2014,31/12/2013,01/01/2014 a 31/12/2014,01/01/2013 a 31/12/2013
0,1,Ativo Total,6.234.801,5.712.410,,
1,1.01,Ativo Circulante,1.477.524,1.191.490,,
2,1.01.01,Caixa e Equivalentes de Caixa,114.774,173.394,,
3,1.01.02,Aplicações Financeiras,18.152,63.592,,
4,1.01.02.01,Aplicações Financeiras Avaliadas a Valor Justo,18.152,63.592,,
5,1.01.02.01.01,Títulos para Negociação,,,,
6,1.01.02.01.02,Títulos Disponíveis para Venda,,,,
7,1.01.02.01.03,Títulos e Valores Mobiliários,18.152,63.592,,
8,1.01.02.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,,,,
9,1.01.02.02.01,Títulos Mantidos até o Vencimento,,,,
10,1.01.03,Contas a Receber,1.137.994,689.652,,
11,1.01.03.01,Clientes,563.230,538.340,,
12,1.01.03.01.01,"Consumidores, Concessionários e Permissionários",641.358,620.877,,
13,1.01.03.01.02,(-) Provisão para Créditos de Liquidação Duvidosa,-88.777,-102.979,,
14,1.01.03.01.03,Partes Relacionadas,63,54,,
15,1.01.03.01.04,Subvenção de Baixa Renda,10.586,20.388,,
16,1.01.03.02,Outras Contas a Receber,574.764,151.312,,
17,1.01.03.02.01,Valores a receber de Parcela A e outros itens financeiros,335.853,0,,
18,1.01.03.02.02,Subvenção CDE - Desconto Tarifário,78.343,8.706,,
19,1.01.03.02.03,Serviço em curso,83.520,72.683,,
20,1.01.03.02.04,Consumidores - serviços prestados,77.048,69.923,,
21,1.01.03.02.05,Encargo Emergencial,,,,
22,1.01.04,Estoques,654,177,,
23,1.01.05,Ativos Biológicos,,,,
24,1.01.06,Tributos a Recuperar,63.685,186.799,,
25,1.01.06.01,Tributos Correntes a Recuperar,63.685,186.799,,
26,1.01.07,Despesas Antecipadas,,,,
27,1.01.08,Outros Ativos Circulantes,142.265,77.876,,
28,1.01.08.01,Ativos Não-Correntes a Venda,,,,
29,1.01.08.02,Ativos de Operações Descontinuadas,,,,
30,1.01.08.03,Outros,142.265,77.876,,
31,1.01.08.03.01,Cauções e Depósitos,27.786,27.564,,
32,1.01.08.03.02,Outros Créditos,114.220,50.312,,
33,1.01.08.03.03,Instrumentos financeiros derivativos - Swap,259,0,,
34,1.02,Ativo Não Circulante,4.757.277,4.520.920,,
35,1.02.01,Ativo Realizável a Longo Prazo,1.975.951,1.854.419,,
36,1.02.01.01,Aplicações Financeiras Avaliadas a Valor Justo,,,,
37,1.02.01.01.01,Títulos para Negociação,,,,
38,1.02.01.01.02,Títulos Disponíveis para Venda,,,,
39,1.02.01.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,,,,
40,1.02.01.02.01,Títulos Mantidos até o Vencimento,,,,
41,1.02.01.03,Contas a Receber,21.681,21.469,,
42,1.02.01.03.01,Clientes,21.681,21.469,,
43,1.02.01.03.02,Outras Contas a Receber,,,,
44,1.02.01.04,Estoques,,,,
45,1.02.01.05,Ativos Biológicos,,,,
46,1.02.01.06,Tributos Diferidos,241.874,191.750,,
47,1.02.01.06.01,Imposto de Renda e Contribuição Social Diferidos,241.874,191.750,,
48,1.02.01.07,Despesas Antecipadas,,,,
49,1.02.01.08,Créditos com Partes Relacionadas,,,,
50,1.02.01.08.01,Créditos com Coligadas,,,,
51,1.02.01.08.02,Créditos com Controladas,,,,
52,1.02.01.08.03,Créditos com Controladores,,,,
53,1.02.01.08.04,Créditos com Outras Partes Relacionadas,,,,
54,1.02.01.09,Outros Ativos Não Circulantes,1.712.396,1.641.200,,
55,1.02.01.09.01,Ativos Não-Correntes a Venda,,,,
56,1.02.01.09.02,Ativos de Operações Descontinuadas,,,,
57,1.02.01.09.03,Ativos Regulatórios,,,,
58,1.02.01.09.04,Tributos a Compensar,83.702,76.877,,
59,1.02.01.09.05,Depósitos Vinculados a Litígios,196.054,180.962,,
60,1.02.01.09.06,Cauções e Depósitos,68,64,,
61,1.02.01.09.07,Ativo Indenizável (Concessão),1.342.255,1.383.297,,
62,1.02.01.09.08,Instrumentos financeiros derivativos - Swap,10.381,0,,
