,Conta,Descrição,31/12/2011,31/12/2010,01/01/2011 a 31/12/2011,01/01/2010 a 31/12/2010
0,1,Ativo Total,92.604,84.977,,
1,1.01,Ativo Circulante,70.736,67.62100000000001,,
2,1.01.01,Caixa e Equivalentes de Caixa,66.0,56.0,,
3,1.01.02,Aplicações Financeiras,37.335,37.163000000000004,,
4,1.01.02.01,Aplicações Financeiras Avaliadas a Valor Justo,34.662,37.163000000000004,,
5,1.01.02.01.01,Títulos para Negociação,,,,
6,1.01.02.01.02,Títulos Disponíveis para Venda,,,,
7,1.01.02.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,2.673,0.0,,
8,1.01.02.02.01,Títulos Mantidos até o Vencimento,2.673,0.0,,
9,1.01.03,Contas a Receber,4.6610000000000005,3.9019999999999997,,
10,1.01.03.01,Clientes,4.6610000000000005,3.9019999999999997,,
11,1.01.03.02,Outras Contas a Receber,,,,
12,1.01.04,Estoques,214.0,214.0,,
13,1.01.05,Ativos Biológicos,,,,
14,1.01.06,Tributos a Recuperar,757.0,141.0,,
15,1.01.06.01,Tributos Correntes a Recuperar,757.0,141.0,,
16,1.01.07,Despesas Antecipadas,104.0,47.0,,
17,1.01.08,Outros Ativos Circulantes,27.599,26.098000000000003,,
18,1.01.08.01,Ativos Não-Correntes a Venda,,,,
19,1.01.08.02,Ativos de Operações Descontinuadas,,,,
20,1.01.08.03,Outros,27.599,26.098000000000003,,
21,1.01.08.03.01,Serviços em curso,535.0,0.0,,
22,1.01.08.03.02,Concessão do serviço público (ativo financeiro),27.064,26.098000000000003,,
23,1.02,Ativo Não Circulante,21.868000000000002,17.355999999999998,,
24,1.02.01,Ativo Realizável a Longo Prazo,21.868000000000002,17.355999999999998,,
25,1.02.01.01,Aplicações Financeiras Avaliadas a Valor Justo,,,,
26,1.02.01.01.01,Títulos para Negociação,,,,
27,1.02.01.01.02,Títulos Disponíveis para Venda,,,,
28,1.02.01.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,,,,
29,1.02.01.02.01,Títulos Mantidos até o Vencimento,,,,
30,1.02.01.03,Contas a Receber,,,,
31,1.02.01.03.01,Clientes,,,,
32,1.02.01.03.02,Outras Contas a Receber,,,,
33,1.02.01.04,Estoques,,,,
34,1.02.01.05,Ativos Biológicos,,,,
35,1.02.01.06,Tributos Diferidos,20.0,0.0,,
36,1.02.01.06.01,Imposto de Renda e Contribuição Social Diferidos,,,,
37,1.02.01.06.02,Impostos e contribuições a recuperar,20.0,0.0,,
38,1.02.01.07,Despesas Antecipadas,,,,
39,1.02.01.08,Créditos com Partes Relacionadas,4.258,2.322,,
40,1.02.01.08.01,Créditos com Coligadas,4.258,2.322,,
41,1.02.01.08.02,Créditos com Controladas,,,,
42,1.02.01.08.03,Créditos com Controladores,,,,
43,1.02.01.08.04,Créditos com Outras Partes Relacionadas,,,,
44,1.02.01.09,Outros Ativos Não Circulantes,17.59,15.034,,
45,1.02.01.09.01,Ativos Não-Correntes a Venda,,,,
46,1.02.01.09.02,Ativos de Operações Descontinuadas,,,,
47,1.02.01.09.03,Depósitos judiciais,6.0,0.0,,
48,1.02.01.09.04,Concessão do serviço público (ativo financeiro),17.483,14.933,,
49,1.02.01.09.05,Outros investimentos,101.0,101.0,,
50,1.02.02,Investimentos,,,,
51,1.02.02.01,Participações Societárias,,,,
52,1.02.02.01.01,Participações em Coligadas,,,,
53,1.02.02.01.02,Participações em Controladas,,,,
54,1.02.02.01.03,Participações em Controladas em Conjunto,,,,
55,1.02.02.01.04,Outras Participações Societárias,,,,
56,1.02.02.02,Propriedades para Investimento,,,,
57,1.02.03,Imobilizado,,,,
58,1.02.03.01,Imobilizado em Operação,,,,
59,1.02.03.02,Imobilizado Arrendado,,,,
60,1.02.03.03,Imobilizado em Andamento,,,,
61,1.02.04,Intangível,,,,
62,1.02.04.01,Intangíveis,,,,
63,1.02.04.01.01,Contrato de Concessão,,,,
64,1.02.05,Diferido,,,,
65,2,Passivo Total,92.604,84.977,,
66,2.01,Passivo Circulante,7.289,8.61,,
67,2.01.01,Obrigações Sociais e Trabalhistas,0.0,126.0,,
68,2.01.01.01,Obrigações Sociais,0.0,126.0,,
69,2.01.01.02,Obrigações Trabalhistas,,,,
70,2.01.02,Fornecedores,131.0,2.485,,
71,2.01.02.01,Fornecedores Nacionais,131.0,2.485,,
72,2.01.02.02,Fornecedores Estrangeiros,,,,
73,2.01.03,Obrigações Fiscais,1.0270000000000001,830.0,,
74,2.01.03.01,Obrigações Fiscais Federais,832.0,657.0,,
