,Conta,Descrição,31/12/2012,31/12/2011,01/01/2012 a 31/12/2012,01/01/2011 a 31/12/2011
0,1,Ativo Total,4.088.780,3.446.388,,
1,1.01,Ativo Circulante,2.368.484,2.150.769,,
2,1.01.01,Caixa e Equivalentes de Caixa,8.075,4.270,,
3,1.01.02,Aplicações Financeiras,1.125.926,880.883,,
4,1.01.02.01,Aplicações Financeiras Avaliadas a Valor Justo,1.125.926,880.883,,
5,1.01.02.01.01,Títulos para Negociação,,,,
6,1.01.02.01.02,Títulos Disponíveis para Venda,,,,
7,1.01.02.01.03,Titulos e Valores Mobiliarios,1.125.926,880.883,,
8,1.01.02.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,,,,
9,1.01.02.02.01,Títulos Mantidos até o Vencimento,,,,
10,1.01.03,Contas a Receber,363.250,586.622,,
11,1.01.03.01,Clientes,363.250,586.622,,
12,1.01.03.02,Outras Contas a Receber,,,,
13,1.01.04,Estoques,709.801,479.160,,
14,1.01.05,Ativos Biológicos,,,,
15,1.01.06,Tributos a Recuperar,110.980,109.862,,
16,1.01.06.01,Tributos Correntes a Recuperar,110.980,109.862,,
17,1.01.07,Despesas Antecipadas,15.654,15.844,,
18,1.01.08,Outros Ativos Circulantes,34.798,74.128,,
19,1.01.08.01,Ativos Não-Correntes a Venda,,,,
20,1.01.08.02,Ativos de Operações Descontinuadas,,,,
21,1.01.08.03,Outros,34.798,74.128,,
22,1.01.08.03.01,Dividendos a receber,118,0,,
23,1.01.08.03.02,Demais contas a receber,34.680,74.128,,
24,1.02,Ativo Não Circulante,1.720.296,1.295.619,,
25,1.02.01,Ativo Realizável a Longo Prazo,437.315,228.280,,
26,1.02.01.01,Aplicações Financeiras Avaliadas a Valor Justo,22.538,18.544,,
27,1.02.01.01.01,Títulos para Negociação,,,,
28,1.02.01.01.02,Títulos Disponíveis para Venda,,,,
29,1.02.01.01.03,Títulos e valores mobiliários,22.538,18.544,,
30,1.02.01.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,,,,
31,1.02.01.02.01,Títulos Mantidos até o Vencimento,,,,
32,1.02.01.03,Contas a Receber,,,,
33,1.02.01.03.01,Clientes,,,,
34,1.02.01.03.02,Outras Contas a Receber,,,,
35,1.02.01.04,Estoques,,,,
36,1.02.01.05,Ativos Biológicos,,,,
37,1.02.01.06,Tributos Diferidos,236.427,138.425,,
38,1.02.01.06.01,Imposto de Renda e Contribuição Social Diferidos,236.427,138.425,,
39,1.02.01.07,Despesas Antecipadas,,,,
40,1.02.01.08,Créditos com Partes Relacionadas,67.935,51.536,,
41,1.02.01.08.01,Créditos com Coligadas,,,,
42,1.02.01.08.02,Créditos com Controladas,37.087,31.932,,
43,1.02.01.08.03,Créditos com Controladores,30.848,19.604,,
44,1.02.01.08.04,Créditos com Outras Partes Relacionadas,,,,
45,1.02.01.09,Outros Ativos Não Circulantes,110.415,19.775,,
46,1.02.01.09.01,Ativos Não-Correntes a Venda,,,,
47,1.02.01.09.02,Ativos de Operações Descontinuadas,,,,
48,1.02.01.09.03,Depósitos judiciais,25.364,19.775,,
49,1.02.01.09.04,Impostos a recuperar e demais contas a receber,85.051,0,,
50,1.02.02,Investimentos,71.851,59.209,,
51,1.02.02.01,Participações Societárias,71.851,59.209,,
52,1.02.02.01.01,Participações em Coligadas,,,,
53,1.02.02.01.02,Participações em Controladas,71.851,48.816,,
54,1.02.02.01.03,Participações em Controladas em Conjunto,0,10.393,,
55,1.02.02.01.04,Outras Participações Societárias,,,,
56,1.02.02.02,Propriedades para Investimento,,,,
57,1.02.03,Imobilizado,249.184,198.587,,
58,1.02.03.01,Imobilizado em Operação,249.184,198.587,,
59,1.02.03.02,Imobilizado Arrendado,,,,
60,1.02.03.03,Imobilizado em Andamento,,,,
61,1.02.04,Intangível,950.031,781.902,,
62,1.02.04.01,Intangíveis,950.031,781.902,,
63,1.02.04.01.01,Contrato de Concessão,,,,
64,1.02.05,Diferido,11.915,27.641,,
65,2,Passivo Total,4.088.780,3.446.388,,
66,2.01,Passivo Circulante,1.416.867,1.180.178,,
67,2.01.01,Obrigações Sociais e Trabalhistas,24.447,14.289,,
68,2.01.01.01,Obrigações Sociais,,,,
69,2.01.01.02,Obrigações Trabalhistas,24.447,14.289,,
70,2.01.01.02.01,"Salários, encargos e contribuições",24.447,14.289,,
71,2.01.02,Fornecedores,911.852,689.587,,
72,2.01.02.01,Fornecedores Nacionais,911.852,689.587,,
73,2.01.02.02,Fornecedores Estrangeiros,,,,
74,2.01.03,Obrigações Fiscais,4.444,4.881,,
75,2.01.03.01,Obrigações Fiscais Federais,,,,
76,2.01.03.01.01,Imposto de Renda e Contribuição Social a Pagar,,,,
77,2.01.03.02,Obrigações Fiscais Estaduais,4.323,4.831,,
78,2.01.03.02.01,Impostos sobre circulação de Mercadorias e Serviços - ICMS,4.323,4.831,,
79,2.01.03.03,Obrigações Fiscais Municipais,121,50,,
80,2.01.03.03.01,Imposto sobre serviço - ISS,121,50,,
81,2.01.04,Empréstimos e Financiamentos,460.697,451.006,,
82,2.01.04.01,Empréstimos e Financiamentos,438.301,442.703,,
83,2.01.04.01.01,Em Moeda Nacional,357.878,222.704,,
84,2.01.04.01.02,Em Moeda Estrangeira,80.423,219.999,,
85,2.01.04.02,Debêntures,22.396,8.303,,
86,2.01.04.02.01,Debêntures,22.396,8.303,,
87,2.01.04.03,Financiamento por Arrendamento Financeiro,,,,
88,2.01.05,Outras Obrigações,15.427,20.415,,
89,2.01.05.01,Passivos com Partes Relacionadas,,,,
90,2.01.05.01.01,Débitos com Coligadas,,,,
91,2.01.05.01.02,Débitos com Controladas,,,,
92,2.01.05.01.03,Débitos com Controladores,,,,
93,2.01.05.01.04,Débitos com Outras Partes Relacionadas,,,,
94,2.01.05.02,Outros,15.427,20.415,,
95,2.01.05.02.01,Dividendos e JCP a Pagar,,,,
96,2.01.05.02.02,Dividendo Mínimo Obrigatório a Pagar,,,,
97,2.01.05.02.03,Obrigações por Pagamentos Baseados em Ações,,,,
98,2.01.05.02.04,Outras obrigações,15.427,20.415,,
99,2.01.06,Provisões,,,,
100,2.01.06.01,Provisões Fiscais Previdenciárias Trabalhistas e Cíveis,,,,
101,2.01.06.01.01,Provisões Fiscais,,,,
102,2.01.06.01.02,Provisões Previdenciárias e Trabalhistas,,,,
103,2.01.06.01.03,Provisões para Benefícios a Empregados,,,,
104,2.01.06.01.04,Provisões Cíveis,,,,
105,2.01.06.02,Outras Provisões,,,,
106,2.01.06.02.01,Provisões para Garantias,,,,
107,2.01.06.02.02,Provisões para Reestruturação,,,,
108,2.01.06.02.03,Provisões para Passivos Ambientais e de Desativação,,,,
109,2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,,,,
110,2.01.07.01,Passivos sobre Ativos Não-Correntes a Venda,,,,
111,2.01.07.02,Passivos sobre Ativos de Operações Descontinuadas,,,,
112,2.02,Passivo Não Circulante,1.694.894,1.108.833,,
113,2.02.01,Empréstimos e Financiamentos,1.675.953,1.087.749,,
114,2.02.01.01,Empréstimos e Financiamentos,1.074.486,785.086,,
115,2.02.01.01.01,Em Moeda Nacional,679.817,596.647,,
116,2.02.01.01.02,Em Moeda Estrangeira,394.669,188.439,,
117,2.02.01.02,Debêntures,601.467,302.663,,
118,2.02.01.03,Financiamento por Arrendamento Financeiro,,,,
119,2.02.02,Outras Obrigações,0,5.743,,
120,2.02.02.01,Passivos com Partes Relacionadas,,,,
121,2.02.02.01.01,Débitos com Coligadas,,,,
122,2.02.02.01.02,Débitos com Controladas,,,,
123,2.02.02.01.03,Débitos com Controladores,,,,
124,2.02.02.01.04,Débitos com Outras Partes Relacionadas,,,,
125,2.02.02.02,Outros,0,5.743,,
126,2.02.02.02.01,Obrigações por Pagamentos Baseados em Ações,,,,
127,2.02.02.02.02,Adiantamento para Futuro Aumento de Capital,,,,
128,2.02.02.02.03,Outras obrigações,0,5.743,,
129,2.02.03,Tributos Diferidos,,,,
130,2.02.03.01,Imposto de Renda e Contribuição Social Diferidos,,,,
131,2.02.04,Provisões,18.941,15.341,,
132,2.02.04.01,Provisões Fiscais Previdenciárias Trabalhistas e Cíveis,18.941,15.341,,
133,2.02.04.01.01,Provisões Fiscais,1.316,1.316,,
134,2.02.04.01.02,Provisões Previdenciárias e Trabalhistas,1.896,1.896,,
135,2.02.04.01.03,Provisões para Benefícios a Empregados,,,,
136,2.02.04.01.04,Provisões Cíveis,15.729,12.129,,
137,2.02.04.02,Outras Provisões,,,,
138,2.02.04.02.01,Provisões para Garantias,,,,
139,2.02.04.02.02,Provisões para Reestruturação,,,,
140,2.02.04.02.03,Provisões para Passivos Ambientais e de Desativação,,,,
