,Conta,Descrição,31/12/2011,31/12/2010,01/01/2011 a 31/12/2011,01/01/2010 a 31/12/2010
0,1,Ativo Total,3.506.743,3.034.130,,
1,1.01,Ativo Circulante,2.150.769,2.095.791,,
2,1.01.01,Caixa e Equivalentes de Caixa,4.270,7.288,,
3,1.01.02,Aplicações Financeiras,880.883,776.973,,
4,1.01.02.01,Aplicações Financeiras Avaliadas a Valor Justo,880.883,776.973,,
5,1.01.02.01.01,Títulos para Negociação,,,,
6,1.01.02.01.02,Títulos Disponíveis para Venda,,,,
7,1.01.02.01.03,Títulos e valores mobiliárrios,880.883,776.973,,
8,1.01.02.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,,,,
9,1.01.02.02.01,Títulos Mantidos até o Vencimento,,,,
10,1.01.03,Contas a Receber,586.622,650.087,,
11,1.01.03.01,Clientes,586.622,650.087,,
12,1.01.03.02,Outras Contas a Receber,,,,
13,1.01.04,Estoques,479.160,530.947,,
14,1.01.05,Ativos Biológicos,,,,
15,1.01.06,Tributos a Recuperar,109.862,52.699,,
16,1.01.06.01,Tributos Correntes a Recuperar,109.862,52.699,,
17,1.01.07,Despesas Antecipadas,15.844,17.813,,
18,1.01.08,Outros Ativos Circulantes,74.128,59.984,,
19,1.01.08.01,Ativos Não-Correntes a Venda,,,,
20,1.01.08.02,Ativos de Operações Descontinuadas,,,,
21,1.01.08.03,Outros,74.128,59.984,,
22,1.02,Ativo Não Circulante,1.355.974,938.339,,
23,1.02.01,Ativo Realizável a Longo Prazo,288.635,162.633,,
24,1.02.01.01,Aplicações Financeiras Avaliadas a Valor Justo,18.544,0,,
25,1.02.01.01.01,Títulos para Negociação,,,,
26,1.02.01.01.02,Títulos Disponíveis para Venda,,,,
27,1.02.01.01.03,Títulos e valores mobiliários,18.544,0,,
28,1.02.01.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,,,,
29,1.02.01.02.01,Títulos Mantidos até o Vencimento,,,,
30,1.02.01.03,Contas a Receber,,,,
31,1.02.01.03.01,Clientes,,,,
32,1.02.01.03.02,Outras Contas a Receber,,,,
33,1.02.01.04,Estoques,,,,
34,1.02.01.05,Ativos Biológicos,,,,
35,1.02.01.06,Tributos Diferidos,198.780,103.606,,
36,1.02.01.06.01,Imposto de Renda e Contribuição Social Diferidos,198.780,103.606,,
37,1.02.01.07,Despesas Antecipadas,,,,
38,1.02.01.08,Créditos com Partes Relacionadas,51.536,45.614,,
39,1.02.01.08.01,Créditos com Coligadas,,,,
40,1.02.01.08.02,Créditos com Controladas,31.932,26.253,,
41,1.02.01.08.03,Créditos com Controladores,19.604,19.361,,
42,1.02.01.08.04,Créditos com Outras Partes Relacionadas,,,,
43,1.02.01.09,Outros Ativos Não Circulantes,19.775,13.413,,
44,1.02.01.09.01,Ativos Não-Correntes a Venda,,,,
45,1.02.01.09.02,Ativos de Operações Descontinuadas,,,,
46,1.02.01.09.03,Depósitos Judiciais,19.775,13.413,,
47,1.02.02,Investimentos,59.209,40.772,,
48,1.02.02.01,Participações Societárias,59.209,40.772,,
49,1.02.02.01.01,Participações em Coligadas,,,,
50,1.02.02.01.02,Participações em Controladas,59.209,40.772,,
51,1.02.02.01.03,Participações em Controladas em Conjunto,,,,
52,1.02.02.01.04,Outras Participações Societárias,,,,
53,1.02.02.02,Propriedades para Investimento,,,,
54,1.02.03,Imobilizado,198.587,122.471,,
55,1.02.03.01,Imobilizado em Operação,198.587,122.471,,
56,1.02.03.02,Imobilizado Arrendado,,,,
57,1.02.03.03,Imobilizado em Andamento,,,,
58,1.02.04,Intangível,781.902,568.433,,
59,1.02.04.01,Intangíveis,781.902,568.433,,
60,1.02.04.01.01,Contrato de Concessão,,,,
61,1.02.05,Diferido,27.641,44.030,,
62,2,Passivo Total,3.506.743,3.034.130,,
63,2.01,Passivo Circulante,1.180.178,1.201.563,,
64,2.01.01,Obrigações Sociais e Trabalhistas,14.289,9.229,,
65,2.01.01.01,Obrigações Sociais,,,,
66,2.01.01.02,Obrigações Trabalhistas,14.289,9.229,,
67,2.01.01.02.01,"Salários, encargos e contribuições",14.289,9.229,,
68,2.01.02,Fornecedores,689.587,768.436,,
69,2.01.02.01,Fornecedores Nacionais,689.587,768.436,,
70,2.01.02.02,Fornecedores Estrangeiros,,,,
71,2.01.03,Obrigações Fiscais,4.881,1.981,,
72,2.01.03.01,Obrigações Fiscais Federais,0,100,,
73,2.01.03.01.01,Imposto de Renda e Contribuição Social a Pagar,0,100,,
74,2.01.03.01.02,Outros,,,,
75,2.01.03.02,Obrigações Fiscais Estaduais,4.831,1.374,,
76,2.01.03.02.01,Impostos sobre Circulação de Mercadoria e Serviços - ICMS,4.831,1.374,,
77,2.01.03.03,Obrigações Fiscais Municipais,50,507,,
78,2.01.03.03.01,Imposto sobre serviço - ISS,50,507,,
