,Conta,Descrição,31/12/2013,31/12/2012,01/01/2013 a 31/12/2013,01/01/2012 a 31/12/2012
0,1,Ativo Total,5.393.176,4.088.780,,
1,1.01,Ativo Circulante,2.904.778,2.368.484,,
2,1.01.01,Caixa e Equivalentes de Caixa,80.462,8.075,,
3,1.01.02,Aplicações Financeiras,1.319.963,1.125.926,,
4,1.01.02.01,Aplicações Financeiras Avaliadas a Valor Justo,1.319.963,1.125.926,,
5,1.01.02.01.01,Títulos para Negociação,,,,
6,1.01.02.01.02,Títulos Disponíveis para Venda,,,,
7,1.01.02.01.03,Titulos e Valores Mobiliarios,1.319.963,1.125.926,,
8,1.01.02.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,,,,
9,1.01.02.02.01,Títulos Mantidos até o Vencimento,,,,
10,1.01.03,Contas a Receber,197.438,363.250,,
11,1.01.03.01,Clientes,197.438,363.250,,
12,1.01.03.02,Outras Contas a Receber,,,,
13,1.01.04,Estoques,1.084.478,709.801,,
14,1.01.05,Ativos Biológicos,,,,
15,1.01.06,Tributos a Recuperar,154.168,110.980,,
16,1.01.06.01,Tributos Correntes a Recuperar,154.168,110.980,,
17,1.01.07,Despesas Antecipadas,28.496,15.654,,
18,1.01.08,Outros Ativos Circulantes,39.773,34.798,,
19,1.01.08.01,Ativos Não-Correntes a Venda,,,,
20,1.01.08.02,Ativos de Operações Descontinuadas,,,,
21,1.01.08.03,Outros,39.773,34.798,,
22,1.01.08.03.01,Dividendos a receber,118,118,,
23,1.01.08.03.02,Demais contas a receber,39.655,34.680,,
24,1.02,Ativo Não Circulante,2.488.398,1.720.296,,
25,1.02.01,Ativo Realizável a Longo Prazo,622.961,437.315,,
26,1.02.01.01,Aplicações Financeiras Avaliadas a Valor Justo,27.249,22.538,,
27,1.02.01.01.01,Títulos para Negociação,,,,
28,1.02.01.01.02,Títulos Disponíveis para Venda,,,,
29,1.02.01.01.03,Títulos e valores mobiliários,27.249,22.538,,
30,1.02.01.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,,,,
31,1.02.01.02.01,Títulos Mantidos até o Vencimento,,,,
32,1.02.01.03,Contas a Receber,,,,
33,1.02.01.03.01,Clientes,,,,
34,1.02.01.03.02,Outras Contas a Receber,,,,
35,1.02.01.04,Estoques,,,,
36,1.02.01.05,Ativos Biológicos,,,,
37,1.02.01.06,Tributos Diferidos,324.854,236.427,,
38,1.02.01.06.01,Imposto de Renda e Contribuição Social Diferidos,324.854,236.427,,
39,1.02.01.07,Despesas Antecipadas,,,,
40,1.02.01.08,Créditos com Partes Relacionadas,5.991,67.935,,
41,1.02.01.08.01,Créditos com Coligadas,,,,
42,1.02.01.08.02,Créditos com Controladas,41.901,37.087,,
43,1.02.01.08.03,Créditos com Controladores,-35.910,30.848,,
44,1.02.01.08.04,Créditos com Outras Partes Relacionadas,,,,
45,1.02.01.09,Outros Ativos Não Circulantes,264.867,110.415,,
46,1.02.01.09.01,Ativos Não-Correntes a Venda,,,,
47,1.02.01.09.02,Ativos de Operações Descontinuadas,,,,
48,1.02.01.09.03,Depósitos judiciais,23.663,25.364,,
49,1.02.01.09.04,Impostos a recuperar e demais contas a receber,241.204,85.051,,
50,1.02.02,Investimentos,195.059,71.851,,
51,1.02.02.01,Participações Societárias,195.059,71.851,,
52,1.02.02.01.01,Participações em Coligadas,,,,
53,1.02.02.01.02,Participações em Controladas,195.059,71.851,,
54,1.02.02.01.03,Participações em Controladas em Conjunto,,,,
55,1.02.02.01.04,Outras Participações Societárias,,,,
56,1.02.02.02,Propriedades para Investimento,,,,
57,1.02.03,Imobilizado,310.263,249.184,,
58,1.02.03.01,Imobilizado em Operação,310.263,249.184,,
59,1.02.03.02,Imobilizado Arrendado,,,,
60,1.02.03.03,Imobilizado em Andamento,,,,
61,1.02.04,Intangível,1.360.115,950.031,,
62,1.02.04.01,Intangíveis,1.360.115,950.031,,
63,1.02.04.01.01,Contrato de Concessão,,,,
64,1.02.05,Diferido,0,11.915,,
65,2,Passivo Total,5.393.176,4.088.780,,
66,2.01,Passivo Circulante,2.291.621,1.416.867,,
67,2.01.01,Obrigações Sociais e Trabalhistas,35.033,24.447,,
68,2.01.01.01,Obrigações Sociais,,,,
69,2.01.01.02,Obrigações Trabalhistas,35.033,24.447,,
70,2.01.01.02.01,"Salários, encargos e contribuições",35.033,24.447,,
71,2.01.02,Fornecedores,1.846.244,911.852,,
72,2.01.02.01,Fornecedores Nacionais,1.846.244,911.852,,
73,2.01.02.02,Fornecedores Estrangeiros,,,,
74,2.01.03,Obrigações Fiscais,4.406,4.444,,
75,2.01.03.01,Obrigações Fiscais Federais,,,,
76,2.01.03.01.01,Imposto de Renda e Contribuição Social a Pagar,,,,
77,2.01.03.02,Obrigações Fiscais Estaduais,4.276,4.323,,
78,2.01.03.02.01,Impostos sobre circulação de Mercadorias e Serviços - ICMS,4.276,4.323,,
79,2.01.03.03,Obrigações Fiscais Municipais,130,121,,
80,2.01.03.03.01,Imposto sobre serviço - ISS,130,121,,
81,2.01.04,Empréstimos e Financiamentos,338.831,460.697,,
82,2.01.04.01,Empréstimos e Financiamentos,207.203,438.301,,
83,2.01.04.01.01,Em Moeda Nacional,204.708,357.878,,
84,2.01.04.01.02,Em Moeda Estrangeira,2.495,80.423,,
85,2.01.04.02,Debêntures,131.628,22.396,,
86,2.01.04.02.01,Debêntures,131.628,22.396,,
87,2.01.04.03,Financiamento por Arrendamento Financeiro,,,,
88,2.01.05,Outras Obrigações,67.107,15.427,,
89,2.01.05.01,Passivos com Partes Relacionadas,,,,
90,2.01.05.01.01,Débitos com Coligadas,,,,
91,2.01.05.01.02,Débitos com Controladas,,,,
92,2.01.05.01.03,Débitos com Controladores,,,,
93,2.01.05.01.04,Débitos com Outras Partes Relacionadas,,,,
94,2.01.05.02,Outros,67.107,15.427,,
