,Conta,Descrição,31/12/2015,31/12/2014,01/01/2015 a 31/12/2015,01/01/2014 a 31/12/2014
0,1,Ativo Total,9.492.507,7.262.899,,
1,1.01,Ativo Circulante,4.878.086,3.641.336,,
2,1.01.01,Caixa e Equivalentes de Caixa,325.521,185.353,,
3,1.01.02,Aplicações Financeiras,2.012.198,1.151.224,,
4,1.01.02.01,Aplicações Financeiras Avaliadas a Valor Justo,2.012.198,1.151.224,,
5,1.01.02.01.01,Títulos para Negociação,,,,
6,1.01.02.01.02,Títulos Disponíveis para Venda,,,,
7,1.01.02.01.03,Titulos e Valores Mobiliarios,2.012.198,1.151.224,,
8,1.01.02.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,,,,
9,1.01.02.02.01,Títulos Mantidos até o Vencimento,,,,
10,1.01.03,Contas a Receber,786.328,735.747,,
11,1.01.03.01,Clientes,786.328,735.747,,
12,1.01.03.02,Outras Contas a Receber,,,,
13,1.01.04,Estoques,1.385.465,1.343.832,,
14,1.01.05,Ativos Biológicos,,,,
15,1.01.06,Tributos a Recuperar,187.874,128.170,,
16,1.01.06.01,Tributos Correntes a Recuperar,187.874,128.170,,
17,1.01.07,Despesas Antecipadas,64.893,29.593,,
18,1.01.08,Outros Ativos Circulantes,115.807,67.417,,
19,1.01.08.01,Ativos Não-Correntes a Venda,,,,
20,1.01.08.02,Ativos de Operações Descontinuadas,,,,
21,1.01.08.03,Outros,115.807,67.417,,
22,1.01.08.03.01,Dividendos a receber,118,118,,
23,1.01.08.03.02,Demais contas a receber,115.689,67.299,,
24,1.02,Ativo Não Circulante,4.614.421,3.621.563,,
25,1.02.01,Ativo Realizável a Longo Prazo,1.456.886,1.125.147,,
26,1.02.01.01,Aplicações Financeiras Avaliadas a Valor Justo,29.830,28.716,,
27,1.02.01.01.01,Títulos para Negociação,,,,
28,1.02.01.01.02,Títulos Disponíveis para Venda,,,,
29,1.02.01.01.03,Títulos e valores mobiliários,29.830,28.716,,
30,1.02.01.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,,,,
31,1.02.01.02.01,Títulos Mantidos até o Vencimento,,,,
32,1.02.01.03,Contas a Receber,,,,
33,1.02.01.03.01,Clientes,,,,
34,1.02.01.03.02,Outras Contas a Receber,,,,
35,1.02.01.04,Estoques,,,,
36,1.02.01.05,Ativos Biológicos,,,,
37,1.02.01.06,Tributos Diferidos,423.630,440.037,,
