,Conta,Descrição,31/12/2015,31/12/2014,01/01/2015 a 31/12/2015,01/01/2014 a 31/12/2014
0,1,Ativo Total,7.818.528,6.234.801,,
1,1.01,Ativo Circulante,2.265.388,1.477.524,,
2,1.01.01,Caixa e Equivalentes de Caixa,134.126,114.774,,
3,1.01.02,Aplicações Financeiras,107.359,18.152,,
4,1.01.02.01,Aplicações Financeiras Avaliadas a Valor Justo,107.359,18.152,,
5,1.01.02.01.01,Títulos para Negociação,,,,
6,1.01.02.01.02,Títulos Disponíveis para Venda,,,,
7,1.01.02.01.03,Títulos e Valores Mobiliários,107.359,18.152,,
8,1.01.02.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,,,,
9,1.01.02.02.01,Títulos Mantidos até o Vencimento,,,,
10,1.01.03,Contas a Receber,1.766.514,1.137.994,,
11,1.01.03.01,Clientes,979.790,563.230,,
12,1.01.03.01.01,"Consumidores, Concessionários e Permissionários",1.108.409,641.358,,
13,1.01.03.01.02,(-) Provisão para Créditos de Liquidação Duvidosa,-135.253,-88.777,,
14,1.01.03.01.03,Recebiveis com partes relacionadas,58,63,,
15,1.01.03.01.04,Subvenção de Baixa Renda,6.576,10.586,,
16,1.01.03.02,Outras Contas a Receber,786.724,574.764,,
17,1.01.03.02.01,Valores a receber de Parcela A e outros itens financeiros,459.074,335.853,,
18,1.01.03.02.02,Subvenção CDE - Desconto Tarifário,173.228,78.343,,
19,1.01.03.02.03,Serviço em curso,73.054,83.520,,
20,1.01.03.02.04,Consumidores - serviços prestados,81.368,77.048,,
21,1.01.03.02.05,Encargo Emergencial,,,,
22,1.01.03.02.06,Recebiveis com partes relacionadas,,,,
23,1.01.04,Estoques,,,,
24,1.01.05,Ativos Biológicos,,,,
25,1.01.06,Tributos a Recuperar,90.615,63.685,,
26,1.01.06.01,Tributos Correntes a Recuperar,90.615,63.685,,
27,1.01.07,Despesas Antecipadas,,,,
28,1.01.08,Outros Ativos Circulantes,166.774,142.919,,
29,1.01.08.01,Ativos Não-Correntes a Venda,,,,
30,1.01.08.02,Ativos de Operações Descontinuadas,,,,
31,1.01.08.03,Outros,166.774,142.919,,
32,1.01.08.03.01,Cauções e Depósitos,40.923,27.786,,
33,1.01.08.03.02,Outros Créditos,123.939,114.874,,
34,1.01.08.03.03,Instrumentos financeiros derivativos - Swap,1.912,259,,
35,1.02,Ativo Não Circulante,5.553.140,4.757.277,,
36,1.02.01,Ativo Realizável a Longo Prazo,2.518.622,1.975.951,,
37,1.02.01.01,Aplicações Financeiras Avaliadas a Valor Justo,,,,
38,1.02.01.01.01,Títulos para Negociação,,,,
39,1.02.01.01.02,Títulos Disponíveis para Venda,,,,
40,1.02.01.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,,,,
41,1.02.01.02.01,Títulos Mantidos até o Vencimento,,,,
42,1.02.01.03,Contas a Receber,4.369,21.681,,
43,1.02.01.03.01,Clientes,4.369,21.681,,
44,1.02.01.03.02,Outras Contas a Receber,,,,
45,1.02.01.04,Estoques,,,,
46,1.02.01.05,Ativos Biológicos,,,,
47,1.02.01.06,Tributos Diferidos,264.255,241.874,,
48,1.02.01.06.01,Imposto de Renda e Contribuição Social Diferidos,264.255,241.874,,
49,1.02.01.07,Despesas Antecipadas,,,,
50,1.02.01.08,Créditos com Partes Relacionadas,,,,
51,1.02.01.08.01,Créditos com Coligadas,,,,
52,1.02.01.08.02,Créditos com Controladas,,,,
53,1.02.01.08.03,Créditos com Controladores,,,,
54,1.02.01.08.04,Créditos com Outras Partes Relacionadas,,,,
55,1.02.01.09,Outros Ativos Não Circulantes,2.249.998,1.712.396,,
56,1.02.01.09.01,Ativos Não-Correntes a Venda,,,,
57,1.02.01.09.02,Ativos de Operações Descontinuadas,,,,
58,1.02.01.09.03,Ativos Regulatórios,,,,
59,1.02.01.09.04,Tributos a Compensar,109.803,83.702,,
60,1.02.01.09.05,Depósitos Vinculados a Litígios,223.613,196.054,,
61,1.02.01.09.06,Cauções e Depósitos,0,68,,
62,1.02.01.09.07,Ativo Indenizável (Concessão),1.832.491,1.342.255,,
63,1.02.01.09.08,Instrumentos financeiros derivativos - Swap,5.385,10.381,,
64,1.02.01.09.09,Valores a receber de Parcela A e outros itens financeiros,78.706,79.936,,
65,1.02.02,Investimentos,,,,
66,1.02.02.01,Participações Societárias,,,,
67,1.02.02.01.01,Participações em Coligadas,,,,
68,1.02.02.01.02,Participações em Controladas,,,,
69,1.02.02.01.03,Participações em Controladas em Conjunto,,,,
70,1.02.02.01.04,Outras Participações Societárias,,,,
71,1.02.02.02,Propriedades para Investimento,,,,
72,1.02.03,Imobilizado,74.187,61.690,,
73,1.02.03.01,Imobilizado em Operação,46.997,36.461,,
74,1.02.03.02,Imobilizado Arrendado,,,,
75,1.02.03.03,Imobilizado em Andamento,27.190,25.229,,
76,1.02.04,Intangível,2.960.331,2.719.636,,
77,1.02.04.01,Intangíveis,2.960.331,2.719.636,,
78,1.02.04.01.01,Contrato de Concessão,,,,
79,1.02.04.01.02,Softwares,81.388,88.369,,
80,1.02.04.01.03,Direito de Uso da Concessão,2.878.943,2.631.267,,
81,1.02.05,Diferido,,,,
0,2,Passivo Total,7.818.528,6.234.801,,
1,2.01,Passivo Circulante,1.906.229,1.077.876,,
2,2.01.01,Obrigações Sociais e Trabalhistas,34.760,36.002,,
3,2.01.01.01,Obrigações Sociais,,,,
4,2.01.01.02,Obrigações Trabalhistas,34.760,36.002,,
5,2.01.02,Fornecedores,916.003,659.982,,
6,2.01.02.01,Fornecedores Nacionais,916.003,659.982,,
7,2.01.02.01.01,Fornecedores Nacionais,913.947,657.308,,
8,2.01.02.01.02,Partes Relacionadas,2.056,2.674,,
9,2.01.02.02,Fornecedores Estrangeiros,,,,
10,2.01.03,Obrigações Fiscais,216.146,29.265,,
11,2.01.03.01,Obrigações Fiscais Federais,64.114,27.352,,
12,2.01.03.01.01,Imposto de Renda e Contribuição Social a Pagar,,,,
13,2.01.03.02,Obrigações Fiscais Estaduais,148.692,0,,
14,2.01.03.03,Obrigações Fiscais Municipais,3.340,1.913,,
15,2.01.04,Empréstimos e Financiamentos,355.388,209.042,,
16,2.01.04.01,Empréstimos e Financiamentos,119.520,112.914,,
17,2.01.04.01.01,Em Moeda Nacional,119.520,112.914,,
18,2.01.04.01.02,Em Moeda Estrangeira,,,,
19,2.01.04.02,Debêntures,235.868,96.128,,
20,2.01.04.03,Financiamento por Arrendamento Financeiro,,,,
21,2.01.05,Outras Obrigações,383.932,143.585,,
22,2.01.05.01,Passivos com Partes Relacionadas,,,,
23,2.01.05.01.01,Débitos com Coligadas,,,,
24,2.01.05.01.02,Débitos com Controladas,,,,
25,2.01.05.01.03,Débitos com Controladores,,,,
26,2.01.05.01.04,Débitos com Outras Partes Relacionadas,,,,
27,2.01.05.02,Outros,383.932,143.585,,
28,2.01.05.02.01,Dividendos e JCP a Pagar,,,,
29,2.01.05.02.02,Dividendo Mínimo Obrigatório a Pagar,46.657,46.796,,
