,Conta,Descrição,31/12/2018,31/12/2017,01/01/2018 a 31/12/2018,01/01/2017 a 31/12/2017
0,1,Ativo Total,12.747.572,12.353.804,,
1,1.01,Ativo Circulante,6.705.058,6.695.235,,
2,1.01.01,Caixa e Equivalentes de Caixa,3.113.727,1.466.774,,
3,1.01.02,Aplicações Financeiras,1.719.887,2.841.006,,
4,1.01.02.01,Aplicações Financeiras Avaliadas a Valor Justo através do Resultado,1.719.887,2.841.006,,
5,1.01.02.01.01,Títulos para Negociação,,,,
6,1.01.02.01.02,Títulos Designados a Valor Justo,,,,
7,1.01.02.01.03,Titulos e Valores Mobiliarios,1.717.267,2.841.006,,
8,1.01.02.01.04,Outros ativos financeiros,2.620,0,,
9,1.01.02.02,Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes,,,,
10,1.01.02.02.01,Títulos Mantidos até o Vencimento,,,,
11,1.01.02.03,Aplicações Financeiras Avaliadas ao Custo Amortizado,,,,
12,1.01.03,Contas a Receber,123.337,361.511,,
13,1.01.03.01,Clientes,123.337,361.511,,
14,1.01.03.02,Outras Contas a Receber,,,,
15,1.01.04,Estoques,841.257,1.179.420,,
16,1.01.05,Ativos Biológicos,,,,
17,1.01.06,Tributos a Recuperar,457.445,378.478,,
18,1.01.06.01,Tributos Correntes a Recuperar,457.445,378.478,,
19,1.01.07,Despesas Antecipadas,27.283,24.460,,
20,1.01.08,Outros Ativos Circulantes,422.122,443.586,,
21,1.01.08.01,Ativos Não-Correntes a Venda,,,,
22,1.01.08.02,Ativos de Operações Descontinuadas,,,,
23,1.01.08.03,Outros,422.122,443.586,,
24,1.01.08.03.01,Dividendos a receber,118,118,,
25,1.01.08.03.02,Demais contas a receber,422.004,443.468,,
26,1.02,Ativo Não Circulante,6.042.514,5.658.569,,
27,1.02.01,Ativo Realizável a Longo Prazo,2.576.112,2.205.639,,
28,1.02.01.01,Aplicações Financeiras Avaliadas a Valor Justo através do Resultado,,,,
29,1.02.01.01.01,Títulos Designados a Valor Justo,,,,
30,1.02.01.02,Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes,,,,
31,1.02.01.03,Aplicações Financeiras Avaliadas ao Custo Amortizado,,,,
32,1.02.01.04,Contas a Receber,,,,
33,1.02.01.04.01,Clientes,,,,
34,1.02.01.04.02,Outras Contas a Receber,,,,
35,1.02.01.05,Estoques,,,,
36,1.02.01.06,Ativos Biológicos,,,,
37,1.02.01.07,Tributos Diferidos,1.104.076,889.368,,
38,1.02.01.07.01,Imposto de Renda e Contribuição Social Diferidos,1.104.076,889.368,,
39,1.02.01.08,Despesas Antecipadas,,,,
40,1.02.01.09,Créditos com Partes Relacionadas,85.873,69.860,,
41,1.02.01.09.01,Créditos com Coligadas,,,,
42,1.02.01.09.02,Créditos com Controladas,44.860,69.860,,
43,1.02.01.09.03,Créditos com Controladores,41.013,0,,
44,1.02.01.09.04,Créditos com Outras Partes Relacionadas,,,,
45,1.02.01.10,Outros Ativos Não Circulantes,1.386.163,1.246.411,,
46,1.02.01.10.01,Ativos Não-Correntes a Venda,,,,
47,1.02.01.10.02,Ativos de Operações Descontinuadas,,,,
48,1.02.01.10.03,Depósitos judiciais,66.068,37.168,,
49,1.02.01.10.04,Impostos a recuperar,1.255.524,1.142.150,,
50,1.02.01.10.05,Outros Ativos Não Circulantes,64.571,67.093,,
51,1.02.02,Investimentos,589.750,522.699,,
52,1.02.02.01,Participações Societárias,589.750,522.699,,
53,1.02.02.01.01,Participações em Coligadas,,,,
54,1.02.02.01.02,Participações em Controladas,589.750,522.699,,
55,1.02.02.01.03,Participações em Controladas em Conjunto,,,,
56,1.02.02.01.04,Outros Investimentos,,,,
57,1.02.02.02,Propriedades para Investimento,,,,
58,1.02.03,Imobilizado,414.417,450.040,,
59,1.02.03.01,Imobilizado em Operação,414.417,450.040,,
60,1.02.03.02,Direito de Uso em Andamento,,,,
