,Conta,Descrição,31/12/2011,31/12/2010,01/01/2011 a 31/12/2011,01/01/2010 a 31/12/2010
0,1,Ativo Total,4.658.509,4.313.606,,
1,1.01,Ativo Circulante,817.174,737.482,,
2,1.01.01,Caixa e Equivalentes de Caixa,59.488,37.568,,
3,1.01.02,Aplicações Financeiras,165,25.614,,
4,1.01.02.01,Aplicações Financeiras Avaliadas a Valor Justo,165,25.614,,
5,1.01.02.01.01,Títulos para Negociação,165,25.614,,
6,1.01.02.01.02,Títulos Disponíveis para Venda,,,,
7,1.01.02.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,,,,
8,1.01.02.02.01,Títulos Mantidos até o Vencimento,,,,
9,1.01.03,Contas a Receber,584.547,508.287,,
10,1.01.03.01,Clientes,584.547,508.278,,
11,1.01.03.01.01,"Consumidores, Concessionários e Permissionários",642.011,636.822,,
12,1.01.03.01.02,(-) Provisão para Créditos de Liquidação Duvidosa,-110.201,-169.057,,
13,1.01.03.01.03,Consumidores de Baixa Renda,22.157,14.234,,
14,1.01.03.01.04,Ativos Regulatórios,3.832,3.181,,
15,1.01.03.01.05,Cauções e Depósitos,26.748,23.098,,
16,1.01.03.02,Outras Contas a Receber,0,9,,
17,1.01.03.02.01,Partes Relacionadas,0,9,,
18,1.01.04,Estoques,740,38,,
19,1.01.05,Ativos Biológicos,,,,
20,1.01.06,Tributos a Recuperar,99.904,62.014,,
21,1.01.06.01,Tributos Correntes a Recuperar,99.904,62.014,,
22,1.01.07,Despesas Antecipadas,439,604,,
23,1.01.08,Outros Ativos Circulantes,71.891,103.357,,
24,1.01.08.01,Ativos Não-Correntes a Venda,,,,
25,1.01.08.02,Ativos de Operações Descontinuadas,,,,
26,1.01.08.03,Outros,71.891,103.357,,
27,1.02,Ativo Não Circulante,3.841.335,3.576.124,,
28,1.02.01,Ativo Realizável a Longo Prazo,1.234.435,1.104.017,,
29,1.02.01.01,Aplicações Financeiras Avaliadas a Valor Justo,,,,
30,1.02.01.01.01,Títulos para Negociação,,,,
31,1.02.01.01.02,Títulos Disponíveis para Venda,,,,
32,1.02.01.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,,,,
33,1.02.01.02.01,Títulos Mantidos até o Vencimento,,,,
34,1.02.01.03,Contas a Receber,20.867,20.842,,
35,1.02.01.03.01,Clientes,20.867,20.842,,
36,1.02.01.03.02,Outras Contas a Receber,,,,
37,1.02.01.04,Estoques,,,,
38,1.02.01.05,Ativos Biológicos,,,,
39,1.02.01.06,Tributos Diferidos,408.307,405.849,,
40,1.02.01.06.01,Imposto de Renda e Contribuição Social Diferidos,408.307,405.849,,
41,1.02.01.07,Despesas Antecipadas,,,,
42,1.02.01.08,Créditos com Partes Relacionadas,659,715,,
43,1.02.01.08.01,Créditos com Coligadas,,,,
44,1.02.01.08.02,Créditos com Controladas,,,,
45,1.02.01.08.03,Créditos com Controladores,,,,
46,1.02.01.08.04,Créditos com Outras Partes Relacionadas,659,715,,
47,1.02.01.09,Outros Ativos Não Circulantes,804.602,676.611,,
48,1.02.01.09.01,Ativos Não-Correntes a Venda,,,,
49,1.02.01.09.02,Ativos de Operações Descontinuadas,,,,
50,1.02.01.09.03,Ativos Regulatórios,,,,
51,1.02.01.09.04,Tributos a Compensar,74.046,80.237,,
52,1.02.01.09.05,Depósitos Vinculados a Litígios,145.646,143.450,,
53,1.02.01.09.06,Cauções e Depósitos,23.374,36.006,,
54,1.02.01.09.07,Ativo Indenizável (Concessão),561.536,416.918,,
55,1.02.02,Investimentos,,,,
56,1.02.02.01,Participações Societárias,,,,
57,1.02.02.01.01,Participações em Coligadas,,,,
58,1.02.02.01.02,Participações em Controladas,,,,
59,1.02.02.01.03,Participações em Controladas em Conjunto,,,,
60,1.02.02.01.04,Outras Participações Societárias,,,,
61,1.02.02.02,Propriedades para Investimento,,,,
62,1.02.03,Imobilizado,41.394,40.771,,
63,1.02.03.01,Imobilizado em Operação,25.180,27.148,,
64,1.02.03.02,Imobilizado Arrendado,,,,
65,1.02.03.03,Imobilizado em Andamento,16.214,13.623,,
66,1.02.04,Intangível,2.565.506,2.431.336,,
67,1.02.04.01,Intangíveis,2.565.506,2.431.336,,
68,1.02.04.01.01,Contrato de Concessão,,,,
69,1.02.04.01.02,Softwares,37.371,36.278,,
70,1.02.04.01.03,Direito de Uso da Concessão,2.528.135,2.395.058,,
71,1.02.05,Diferido,,,,
0,2,Passivo Total,4.658.509,4.313.606,,
1,2.01,Passivo Circulante,1.109.160,970.187,,
2,2.01.01,Obrigações Sociais e Trabalhistas,29.547,24.106,,
3,2.01.01.01,Obrigações Sociais,,,,
4,2.01.01.02,Obrigações Trabalhistas,29.547,24.106,,
5,2.01.02,Fornecedores,317.865,273.742,,
6,2.01.02.01,Fornecedores Nacionais,317.865,273.742,,
7,2.01.02.02,Fornecedores Estrangeiros,,,,
8,2.01.03,Obrigações Fiscais,53.261,62.361,,
9,2.01.03.01,Obrigações Fiscais Federais,50.805,45.145,,
10,2.01.03.01.01,Imposto de Renda e Contribuição Social a Pagar,0,13.469,,
11,2.01.03.01.02,PIS e COFINS a Pagar,40.567,29.375,,
12,2.01.03.01.03,Outras Obrigações Fiscais,10.238,2.301,,
13,2.01.03.02,Obrigações Fiscais Estaduais,0,14.984,,
14,2.01.03.03,Obrigações Fiscais Municipais,2.456,2.232,,
15,2.01.04,Empréstimos e Financiamentos,567.248,450.098,,
16,2.01.04.01,Empréstimos e Financiamentos,248.859,247.319,,
17,2.01.04.01.01,Em Moeda Nacional,248.859,247.319,,
18,2.01.04.01.02,Em Moeda Estrangeira,,,,
19,2.01.04.02,Debêntures,318.389,202.779,,
20,2.01.04.03,Financiamento por Arrendamento Financeiro,,,,
21,2.01.05,Outras Obrigações,141.239,159.880,,
22,2.01.05.01,Passivos com Partes Relacionadas,1.279,7.320,,
23,2.01.05.01.01,Débitos com Coligadas,,,,
24,2.01.05.01.02,Débitos com Controladas,,,,
25,2.01.05.01.03,Débitos com Controladores,,,,
26,2.01.05.01.04,Débitos com Outras Partes Relacionadas,1.279,7.320,,
27,2.01.05.02,Outros,139.960,152.560,,
28,2.01.05.02.01,Dividendos e JCP a Pagar,24.007,28.908,,
29,2.01.05.02.02,Dividendo Mínimo Obrigatório a Pagar,,,,
30,2.01.05.02.03,Obrigações por Pagamentos Baseados em Ações,,,,
31,2.01.05.02.04,Taxas Regulamentares,35.954,23.467,,
32,2.01.05.02.05,Parcelamento Especial,7.215,6.988,,
33,2.01.05.02.06,"Programas de Pesquisa, Desenvolvimento e de Eficiência Energética",23.028,77.065,,
34,2.01.05.02.07,Obrigações com Contribuição de Iluminação Pública,13.659,7.267,,
35,2.01.05.02.08,Passivos Regulatórios,25.205,5.671,,
36,2.01.05.02.09,Outras Obrigações,10.892,3.194,,
37,2.01.06,Provisões,,,,
38,2.01.06.01,Provisões Fiscais Previdenciárias Trabalhistas e Cíveis,,,,
39,2.01.06.01.01,Provisões Fiscais,,,,
40,2.01.06.01.02,Provisões Previdenciárias e Trabalhistas,,,,
41,2.01.06.01.03,Provisões para Benefícios a Empregados,,,,
42,2.01.06.01.04,Provisões Cíveis,,,,
43,2.01.06.02,Outras Provisões,,,,
44,2.01.06.02.01,Provisões para Garantias,,,,
45,2.01.06.02.02,Provisões para Reestruturação,,,,
46,2.01.06.02.03,Provisões para Passivos Ambientais e de Desativação,,,,
47,2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,,,,
48,2.01.07.01,Passivos sobre Ativos Não-Correntes a Venda,,,,
49,2.01.07.02,Passivos sobre Ativos de Operações Descontinuadas,,,,
50,2.02,Passivo Não Circulante,1.913.613,1.759.950,,
51,2.02.01,Empréstimos e Financiamentos,844.324,797.854,,
52,2.02.01.01,Empréstimos e Financiamentos,389.640,355.834,,
53,2.02.01.01.01,Em Moeda Nacional,389.640,355.834,,
54,2.02.01.01.02,Em Moeda Estrangeira,,,,
55,2.02.01.02,Debêntures,454.684,442.020,,
56,2.02.01.03,Financiamento por Arrendamento Financeiro,,,,
57,2.02.02,Outras Obrigações,543.233,404.706,,
58,2.02.02.01,Passivos com Partes Relacionadas,99,2.409,,
59,2.02.02.01.01,Débitos com Coligadas,,,,
60,2.02.02.01.02,Débitos com Controladas,,,,
61,2.02.02.01.03,Débitos com Controladores,,,,
62,2.02.02.01.04,Débitos com Outras Partes Relacionadas,99,2.409,,
63,2.02.02.02,Outros,543.134,402.297,,
64,2.02.02.02.01,Obrigações por Pagamentos Baseados em Ações,,,,
65,2.02.02.02.02,Adiantamento para Futuro Aumento de Capital,,,,
66,2.02.02.02.03,Obrigações com Benefícios Pós-Emprego,529.230,365.212,,
67,2.02.02.02.04,"Programas de Pesquisa, Desenvolvimento e de Eficiência Energética",2.266,6.721,,
68,2.02.02.02.05,Parcelamento Especial,7.721,14.480,,
69,2.02.02.02.06,Provisão de Baixa Renda,,,,
70,2.02.02.02.07,Passivos Regulatórios,3.892,15.877,,
71,2.02.02.02.08,Outras Obrigações,25,7,,
72,2.02.03,Tributos Diferidos,28.686,23.547,,
