,Conta,Descrição,31/12/2016,31/12/2015,01/01/2016 a 31/12/2016,01/01/2015 a 31/12/2015
0,1,Ativo Total,9.812.763,9.458.711,,
1,1.01,Ativo Circulante,4.519.715,4.844.290,,
2,1.01.01,Caixa e Equivalentes de Caixa,223.112,325.521,,
3,1.01.02,Aplicações Financeiras,1.452.747,2.012.198,,
4,1.01.02.01,Aplicações Financeiras Avaliadas a Valor Justo,1.452.747,2.012.198,,
5,1.01.02.01.01,Títulos para Negociação,,,,
6,1.01.02.01.02,Títulos Disponíveis para Venda,,,,
7,1.01.02.01.03,Titulos e Valores Mobiliarios,1.452.747,2.012.198,,
8,1.01.02.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,,,,
9,1.01.02.02.01,Títulos Mantidos até o Vencimento,,,,
10,1.01.03,Contas a Receber,630.263,786.328,,
11,1.01.03.01,Clientes,630.263,786.328,,
12,1.01.03.02,Outras Contas a Receber,,,,
13,1.01.04,Estoques,1.518.638,1.385.465,,
14,1.01.05,Ativos Biológicos,,,,
15,1.01.06,Tributos a Recuperar,418.533,187.874,,
16,1.01.06.01,Tributos Correntes a Recuperar,418.533,187.874,,
17,1.01.07,Despesas Antecipadas,31.793,31.097,,
18,1.01.08,Outros Ativos Circulantes,244.629,115.807,,
19,1.01.08.01,Ativos Não-Correntes a Venda,,,,
20,1.01.08.02,Ativos de Operações Descontinuadas,,,,
21,1.01.08.03,Outros,244.629,115.807,,
22,1.01.08.03.01,Dividendos a receber,118,118,,
23,1.01.08.03.02,Demais contas a receber,244.511,115.689,,
24,1.02,Ativo Não Circulante,5.293.048,4.614.421,,
25,1.02.01,Ativo Realizável a Longo Prazo,1.917.988,1.456.886,,
26,1.02.01.01,Aplicações Financeiras Avaliadas a Valor Justo,35.478,29.830,,
27,1.02.01.01.01,Títulos para Negociação,,,,
28,1.02.01.01.02,Títulos Disponíveis para Venda,,,,
29,1.02.01.01.03,Títulos e valores mobiliários,35.478,29.830,,
30,1.02.01.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,,,,
31,1.02.01.02.01,Títulos Mantidos até o Vencimento,,,,
32,1.02.01.03,Contas a Receber,,,,
33,1.02.01.03.01,Clientes,,,,
34,1.02.01.03.02,Outras Contas a Receber,,,,
35,1.02.01.04,Estoques,,,,
36,1.02.01.05,Ativos Biológicos,,,,
37,1.02.01.06,Tributos Diferidos,667.755,423.630,,
38,1.02.01.06.01,Imposto de Renda e Contribuição Social Diferidos,667.755,423.630,,
39,1.02.01.07,Despesas Antecipadas,,,,
