,Conta,Descrição,31/12/2014,31/12/2013,01/01/2014 a 31/12/2014,01/01/2013 a 31/12/2013
0,1,Ativo Total,83.91,83.40299999999999,,
1,1.01,Ativo Circulante,61.521,59.638000000000005,,
2,1.01.01,Caixa e Equivalentes de Caixa,29.284000000000002,29.013,,
3,1.01.02,Aplicações Financeiras,0.0,26.0,,
4,1.01.02.01,Aplicações Financeiras Avaliadas a Valor Justo,,,,
5,1.01.02.01.01,Títulos para Negociação,,,,
6,1.01.02.01.02,Títulos Disponíveis para Venda,,,,
7,1.01.02.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,0.0,26.0,,
8,1.01.02.02.01,Títulos Mantidos até o Vencimento,0.0,26.0,,
9,1.01.03,Contas a Receber,4.553999999999999,3.61,,
10,1.01.03.01,Clientes,4.553999999999999,3.61,,
11,1.01.03.02,Outras Contas a Receber,,,,
12,1.01.04,Estoques,214.0,214.0,,
13,1.01.05,Ativos Biológicos,,,,
14,1.01.06,Tributos a Recuperar,349.0,1.194,,
15,1.01.06.01,Tributos Correntes a Recuperar,349.0,1.194,,
16,1.01.07,Despesas Antecipadas,165.0,303.0,,
17,1.01.08,Outros Ativos Circulantes,26.955,25.278000000000002,,
18,1.01.08.01,Ativos Não-Correntes a Venda,,,,
19,1.01.08.02,Ativos de Operações Descontinuadas,,,,
20,1.01.08.03,Outros,26.955,25.278000000000002,,
21,1.01.08.03.01,Serviços em curso,,,,
22,1.01.08.03.02,Concessão do serviço público (ativo financeiro),26.955,25.278000000000002,,
23,1.01.08.03.03,Adiantamento a fornecedores,,,,
24,1.02,Ativo Não Circulante,22.389,23.765,,
25,1.02.01,Ativo Realizável a Longo Prazo,22.389,23.765,,
26,1.02.01.01,Aplicações Financeiras Avaliadas a Valor Justo,,,,
27,1.02.01.01.01,Títulos para Negociação,,,,
28,1.02.01.01.02,Títulos Disponíveis para Venda,,,,
29,1.02.01.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,720.0,234.0,,
30,1.02.01.02.01,Títulos Mantidos até o Vencimento,720.0,234.0,,
31,1.02.01.03,Contas a Receber,,,,
32,1.02.01.03.01,Clientes,,,,
33,1.02.01.03.02,Outras Contas a Receber,,,,
34,1.02.01.04,Estoques,,,,
35,1.02.01.05,Ativos Biológicos,,,,
36,1.02.01.06,Tributos Diferidos,,,,
37,1.02.01.06.01,Imposto de Renda e Contribuição Social Diferidos,,,,
38,1.02.01.07,Despesas Antecipadas,,,,
39,1.02.01.08,Créditos com Partes Relacionadas,,,,
40,1.02.01.08.01,Créditos com Coligadas,,,,
41,1.02.01.08.02,Créditos com Controladas,,,,
42,1.02.01.08.03,Créditos com Controladores,,,,
43,1.02.01.08.04,Créditos com Outras Partes Relacionadas,,,,
44,1.02.01.09,Outros Ativos Não Circulantes,21.669,23.531,,
45,1.02.01.09.01,Ativos Não-Correntes a Venda,,,,
46,1.02.01.09.02,Ativos de Operações Descontinuadas,,,,
47,1.02.01.09.03,Depósitos judiciais,96.0,17.0,,
48,1.02.01.09.04,Concessão do serviço público (ativo financeiro),21.444000000000003,23.383000000000003,,
49,1.02.01.09.05,Outros investimentos,101.0,101.0,,
50,1.02.01.09.06,Impostos e contribuições a recuperar,28.0,30.0,,
51,1.02.02,Investimentos,,,,
52,1.02.02.01,Participações Societárias,,,,
53,1.02.02.01.01,Participações em Coligadas,,,,
54,1.02.02.01.02,Participações em Controladas,,,,
55,1.02.02.01.03,Participações em Controladas em Conjunto,,,,
56,1.02.02.01.04,Outras Participações Societárias,,,,
57,1.02.02.02,Propriedades para Investimento,,,,
58,1.02.03,Imobilizado,,,,
59,1.02.03.01,Imobilizado em Operação,,,,
60,1.02.03.02,Imobilizado Arrendado,,,,
61,1.02.03.03,Imobilizado em Andamento,,,,
62,1.02.04,Intangível,,,,
63,1.02.04.01,Intangíveis,,,,
64,1.02.04.01.01,Contrato de Concessão,,,,
65,1.02.05,Diferido,,,,
66,2,Passivo Total,83.91,83.40299999999999,,
67,2.01,Passivo Circulante,3.0660000000000003,2.8160000000000003,,
68,2.01.01,Obrigações Sociais e Trabalhistas,,,,
69,2.01.01.01,Obrigações Sociais,,,,
70,2.01.01.02,Obrigações Trabalhistas,,,,
71,2.01.02,Fornecedores,833.0,1.294,,
72,2.01.02.01,Fornecedores Nacionais,833.0,1.294,,
73,2.01.02.02,Fornecedores Estrangeiros,,,,
74,2.01.03,Obrigações Fiscais,1.148,665.0,,
75,2.01.03.01,Obrigações Fiscais Federais,736.0,469.0,,
76,2.01.03.01.01,Imposto de Renda e Contribuição Social a Pagar,407.0,354.0,,
77,2.01.03.01.02,Programa de Integração Social - PIS,19.0,19.0,,
78,2.01.03.01.03,Contribuição para o Financiamento da Seguridade Social - COFINS,89.0,87.0,,
79,2.01.03.01.04,Instituto Nacional da Seguridade Social - INSS,221.0,9.0,,
80,2.01.03.01.05,Outros,,,,
81,2.01.03.02,Obrigações Fiscais Estaduais,,,,
82,2.01.03.03,Obrigações Fiscais Municipais,412.0,196.0,,
83,2.01.04,Empréstimos e Financiamentos,543.0,533.0,,
84,2.01.04.01,Empréstimos e Financiamentos,543.0,533.0,,
85,2.01.04.01.01,Em Moeda Nacional,543.0,533.0,,
86,2.01.04.01.02,Em Moeda Estrangeira,,,,
87,2.01.04.02,Debêntures,,,,
88,2.01.04.03,Financiamento por Arrendamento Financeiro,,,,
89,2.01.05,Outras Obrigações,542.0,324.0,,
90,2.01.05.01,Passivos com Partes Relacionadas,,,,
91,2.01.05.01.01,Débitos com Coligadas,,,,
92,2.01.05.01.02,Débitos com Controladas,,,,
93,2.01.05.01.03,Débitos com Controladores,,,,
94,2.01.05.01.04,Débitos com Outras Partes Relacionadas,,,,
95,2.01.05.02,Outros,542.0,324.0,,
96,2.01.05.02.01,Dividendos e JCP a Pagar,,,,
97,2.01.05.02.02,Dividendo Mínimo Obrigatório a Pagar,65.0,51.0,,
98,2.01.05.02.03,Obrigações por Pagamentos Baseados em Ações,,,,
99,2.01.05.02.04,Taxas regulamentares,222.0,202.0,,
100,2.01.05.02.05,Outros passivos circulantes,255.0,71.0,,
101,2.01.06,Provisões,,,,
102,2.01.06.01,Provisões Fiscais Previdenciárias Trabalhistas e Cíveis,,,,
103,2.01.06.01.01,Provisões Fiscais,,,,
104,2.01.06.01.02,Provisões Previdenciárias e Trabalhistas,,,,
105,2.01.06.01.03,Provisões para Benefícios a Empregados,,,,
106,2.01.06.01.04,Provisões Cíveis,,,,
107,2.01.06.02,Outras Provisões,,,,
108,2.01.06.02.01,Provisões para Garantias,,,,
109,2.01.06.02.02,Provisões para Reestruturação,,,,
110,2.01.06.02.03,Provisões para Passivos Ambientais e de Desativação,,,,
111,2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,,,,
112,2.01.07.01,Passivos sobre Ativos Não-Correntes a Venda,,,,
113,2.01.07.02,Passivos sobre Ativos de Operações Descontinuadas,,,,
114,2.02,Passivo Não Circulante,4.194,3.0839999999999996,,
115,2.02.01,Empréstimos e Financiamentos,4.02,2.9389999999999996,,
116,2.02.01.01,Empréstimos e Financiamentos,4.02,2.9389999999999996,,
117,2.02.01.01.01,Em Moeda Nacional,4.02,2.9389999999999996,,
118,2.02.01.01.02,Em Moeda Estrangeira,,,,
119,2.02.01.02,Debêntures,,,,
120,2.02.01.03,Financiamento por Arrendamento Financeiro,,,,
121,2.02.02,Outras Obrigações,143.0,145.0,,
122,2.02.02.01,Passivos com Partes Relacionadas,,,,
123,2.02.02.01.01,Débitos com Coligadas,,,,
124,2.02.02.01.02,Débitos com Controladas,,,,
125,2.02.02.01.03,Débitos com Controladores,,,,
126,2.02.02.01.04,Débitos com Outras Partes Relacionadas,,,,
127,2.02.02.02,Outros,143.0,145.0,,
128,2.02.02.02.01,Obrigações por Pagamentos Baseados em Ações,,,,
129,2.02.02.02.02,Adiantamento para Futuro Aumento de Capital,,,,
130,2.02.02.02.03,Taxas regulamentares,92.0,72.0,,
131,2.02.02.02.04,Outros passivos não circulantes,51.0,73.0,,
132,2.02.03,Tributos Diferidos,,,,
133,2.02.03.01,Imposto de Renda e Contribuição Social Diferidos,,,,
134,2.02.04,Provisões,31.0,0.0,,
135,2.02.04.01,Provisões Fiscais Previdenciárias Trabalhistas e Cíveis,31.0,0.0,,
136,2.02.04.01.01,Provisões Fiscais,,,,
137,2.02.04.01.02,Provisões Previdenciárias e Trabalhistas,31.0,0.0,,
138,2.02.04.01.03,Provisões para Benefícios a Empregados,,,,
139,2.02.04.01.04,Provisões Cíveis,,,,
140,2.02.04.02,Outras Provisões,,,,
141,2.02.04.02.01,Provisões para Garantias,,,,
142,2.02.04.02.02,Provisões para Reestruturação,,,,
143,2.02.04.02.03,Provisões para Passivos Ambientais e de Desativação,,,,
144,2.02.05,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,,,,
145,2.02.05.01,Passivos sobre Ativos Não-Correntes a Venda,,,,
146,2.02.05.02,Passivos sobre Ativos de Operações Descontinuadas,,,,
147,2.02.06,Lucros e Receitas a Apropriar,,,,
148,2.02.06.01,Lucros a Apropriar,,,,
149,2.02.06.02,Receitas a Apropriar,,,,
150,2.02.06.03,Subvenções de Investimento a Apropriar,,,,
151,2.03,Patrimônio Líquido,76.65,77.503,,
152,2.03.01,Capital Social Realizado,63.085,63.085,,
153,2.03.02,Reservas de Capital,,,,
154,2.03.02.01,Ágio na Emissão de Ações,,,,
155,2.03.02.02,Reserva Especial de Ágio na Incorporação,,,,
156,2.03.02.03,Alienação de Bônus de Subscrição,,,,
157,2.03.02.04,Opções Outorgadas,,,,
158,2.03.02.05,Ações em Tesouraria,,,,
159,2.03.02.06,Adiantamento para Futuro Aumento de Capital,,,,
160,2.03.03,Reservas de Reavaliação,,,,
161,2.03.04,Reservas de Lucros,13.565,14.418,,
162,2.03.04.01,Reserva Legal,5.7,4.9510000000000005,,
163,2.03.04.02,Reserva Estatutária,,,,
164,2.03.04.03,Reserva para Contingências,,,,
165,2.03.04.04,Reserva de Lucros a Realizar,,,,
166,2.03.04.05,Reserva de Retenção de Lucros,,,,
167,2.03.04.06,Reserva Especial para Dividendos Não Distribuídos,7.865,9.467,,
168,2.03.04.07,Reserva de Incentivos Fiscais,,,,
169,2.03.04.08,Dividendo Adicional Proposto,,,,
170,2.03.04.09,Ações em Tesouraria,,,,
171,2.03.05,Lucros/Prejuízos Acumulados,,,,
172,2.03.06,Ajustes de Avaliação Patrimonial,,,,
173,2.03.07,Ajustes Acumulados de Conversão,,,,
174,2.03.08,Outros Resultados Abrangentes,,,,
175,3.01,Receita de Venda de Bens e/ou Serviços,,,34.643,35.126999999999995
176,3.02,Custo dos Bens e/ou Serviços Vendidos,,,-17.607,-14.544
177,3.03,Resultado Bruto,,,17.035999999999998,20.583000000000002
178,3.04,Despesas/Receitas Operacionais,,,-2.6630000000000003,-1.4369999999999998
179,3.04.01,Despesas com Vendas,,,0.0,-817.0
180,3.04.02,Despesas Gerais e Administrativas,,,-2.6630000000000003,-620.0
181,3.04.03,Perdas pela Não Recuperabilidade de Ativos,,,,
182,3.04.04,Outras Receitas Operacionais,,,,
183,3.04.05,Outras Despesas Operacionais,,,,
184,3.04.06,Resultado de Equivalência Patrimonial,,,,
185,3.05,Resultado Antes do Resultado Financeiro e dos Tributos,,,14.373,19.146
186,3.06,Resultado Financeiro,,,2.965,2.214
187,3.06.01,Receitas Financeiras,,,3.449,2.582
188,3.06.02,Despesas Financeiras,,,-484.0,-368.0
189,3.07,Resultado Antes dos Tributos sobre o Lucro,,,17.338,21.36
190,3.08,Imposto de Renda e Contribuição Social sobre o Lucro,,,-2.356,-1.919
191,3.08.01,Corrente,,,-2.356,-1.919
192,3.08.02,Diferido,,,,
193,3.09,Resultado Líquido das Operações Continuadas,,,14.982000000000001,19.441
194,3.10,Resultado Líquido de Operações Descontinuadas,,,,
195,3.10.01,Lucro/Prejuízo Líquido das Operações Descontinuadas,,,,
196,3.10.02,Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas,,,,
197,3.11,Lucro/Prejuízo do Período,,,14.982000000000001,19.441
198,3.99,Lucro por Ação - (Reais / Ação),,,,
199,3.99.01,Lucro Básico por Ação,,,,
200,3.99.01.01,ON,,,24000.0,31000.0
201,3.99.02,Lucro Diluído por Ação,,,,
