,Conta,Descrição,31/12/2016,31/12/2015,01/01/2016 a 31/12/2016,01/01/2015 a 31/12/2015
0,1,Ativo Total,8.104.030,7.818.528,,
1,1.01,Ativo Circulante,1.733.407,2.265.388,,
2,1.01.01,Caixa e Equivalentes de Caixa,251.357,134.126,,
3,1.01.02,Aplicações Financeiras,53.772,107.359,,
4,1.01.02.01,Aplicações Financeiras Avaliadas a Valor Justo,53.772,107.359,,
5,1.01.02.01.01,Títulos para Negociação,,,,
6,1.01.02.01.02,Títulos Disponíveis para Venda,,,,
7,1.01.02.01.03,Títulos e Valores Mobiliários,53.772,107.359,,
8,1.01.02.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,,,,
9,1.01.02.02.01,Títulos Mantidos até o Vencimento,,,,
10,1.01.03,Contas a Receber,1.163.822,1.757.666,,
11,1.01.03.01,Clientes,736.365,970.942,,
12,1.01.03.01.01,"Consumidores, Concessionários e Permissionários",959.790,1.111.138,,
13,1.01.03.01.02,(-) Provisão para Créditos de Liquidação Duvidosa,-230.568,-146.772,,
14,1.01.03.01.03,Recebiveis com partes relacionadas,,,,
15,1.01.03.01.04,Subvenção de Baixa Renda,7.143,6.576,,
16,1.01.03.02,Outras Contas a Receber,427.457,786.724,,
17,1.01.03.02.01,Valores a receber de Parcela A e outros itens financeiros,0,459.074,,
18,1.01.03.02.02,Subvenção CDE - Desconto Tarifário,277.512,173.228,,
19,1.01.03.02.03,Serviço em curso,65.426,73.054,,
20,1.01.03.02.04,Consumidores - serviços prestados,84.519,81.368,,
21,1.01.03.02.05,Encargo Emergencial,,,,
22,1.01.03.02.06,Aporte CCRBT,,,,
23,1.01.04,Estoques,,,,
24,1.01.05,Ativos Biológicos,,,,
25,1.01.06,Tributos a Recuperar,74.643,90.615,,
26,1.01.06.01,Tributos Correntes a Recuperar,74.643,90.615,,
27,1.01.07,Despesas Antecipadas,,,,
28,1.01.08,Outros Ativos Circulantes,189.813,175.622,,
29,1.01.08.01,Ativos Não-Correntes a Venda,,,,
30,1.01.08.02,Ativos de Operações Descontinuadas,,,,
31,1.01.08.03,Outros,189.813,175.622,,
32,1.01.08.03.01,Cauções e Depósitos,63.601,40.923,,
33,1.01.08.03.02,Outros Créditos,125.425,132.787,,
34,1.01.08.03.03,Instrumentos financeiros derivativos - Swap,787,1.912,,
35,1.02,Ativo Não Circulante,6.370.623,5.553.140,,
36,1.02.01,Ativo Realizável a Longo Prazo,3.030.455,2.518.622,,
37,1.02.01.01,Aplicações Financeiras Avaliadas a Valor Justo,,,,
38,1.02.01.01.01,Títulos para Negociação,,,,
39,1.02.01.01.02,Títulos Disponíveis para Venda,,,,
40,1.02.01.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,,,,
41,1.02.01.02.01,Títulos Mantidos até o Vencimento,,,,
42,1.02.01.03,Contas a Receber,59.261,4.369,,
43,1.02.01.03.01,Clientes,59.261,4.369,,
44,1.02.01.03.02,Outras Contas a Receber,,,,
45,1.02.01.04,Estoques,,,,
46,1.02.01.05,Ativos Biológicos,,,,
47,1.02.01.06,Tributos Diferidos,369.898,264.255,,
48,1.02.01.06.01,Imposto de Renda e Contribuição Social Diferidos,369.898,264.255,,
49,1.02.01.07,Despesas Antecipadas,,,,
50,1.02.01.08,Créditos com Partes Relacionadas,,,,
51,1.02.01.08.01,Créditos com Coligadas,,,,
52,1.02.01.08.02,Créditos com Controladas,,,,
53,1.02.01.08.03,Créditos com Controladores,,,,
54,1.02.01.08.04,Créditos com Outras Partes Relacionadas,,,,
55,1.02.01.09,Outros Ativos Não Circulantes,2.601.296,2.249.998,,
56,1.02.01.09.01,Ativos Não-Correntes a Venda,,,,
57,1.02.01.09.02,Ativos de Operações Descontinuadas,,,,
58,1.02.01.09.03,Ativos Regulatórios,,,,
59,1.02.01.09.04,Tributos a Compensar,125.300,109.803,,
60,1.02.01.09.05,Depósitos Vinculados a Litígios,223.325,223.613,,
61,1.02.01.09.06,Cauções e Depósitos,,,,
62,1.02.01.09.07,Ativo Indenizável (Concessão),2.242.355,1.832.491,,
63,1.02.01.09.08,Instrumentos financeiros derivativos - Swap,10.316,5.385,,
64,1.02.01.09.09,Ativos financeiros setoriais,0,78.706,,
65,1.02.02,Investimentos,,,,
66,1.02.02.01,Participações Societárias,,,,
67,1.02.02.01.01,Participações em Coligadas,,,,
68,1.02.02.01.02,Participações em Controladas,,,,
69,1.02.02.01.03,Participações em Controladas em Conjunto,,,,
70,1.02.02.01.04,Outras Participações Societárias,,,,
71,1.02.02.02,Propriedades para Investimento,,,,
72,1.02.03,Imobilizado,71.552,74.187,,
73,1.02.03.01,Imobilizado em Operação,43.874,46.997,,
74,1.02.03.02,Imobilizado Arrendado,,,,
75,1.02.03.03,Imobilizado em Andamento,27.678,27.190,,
76,1.02.04,Intangível,3.268.616,2.960.331,,
77,1.02.04.01,Intangíveis,3.268.616,2.960.331,,
78,1.02.04.01.01,Contrato de Concessão,,,,
79,1.02.04.01.02,Softwares,173.062,81.388,,
80,1.02.04.01.03,Direito de Uso da Concessão,3.095.554,2.878.943,,
81,1.02.05,Diferido,,,,
0,2,Passivo Total,8.104.030,7.818.528,,
1,2.01,Passivo Circulante,2.147.850,1.906.229,,
2,2.01.01,Obrigações Sociais e Trabalhistas,42.546,34.760,,
3,2.01.01.01,Obrigações Sociais,,,,
4,2.01.01.02,Obrigações Trabalhistas,42.546,34.760,,
5,2.01.02,Fornecedores,688.858,952.142,,
6,2.01.02.01,Fornecedores Nacionais,688.858,952.142,,
7,2.01.02.01.01,Fornecedores Nacionais,687.394,950.086,,
8,2.01.02.01.02,Partes Relacionadas,1.464,2.056,,
9,2.01.02.02,Fornecedores Estrangeiros,,,,
10,2.01.03,Obrigações Fiscais,124.301,216.146,,
11,2.01.03.01,Obrigações Fiscais Federais,63.557,64.114,,
12,2.01.03.01.01,Imposto de Renda e Contribuição Social a Pagar,,,,
13,2.01.03.02,Obrigações Fiscais Estaduais,55.973,148.692,,
14,2.01.03.03,Obrigações Fiscais Municipais,4.771,3.340,,
15,2.01.04,Empréstimos e Financiamentos,790.340,355.388,,
16,2.01.04.01,Empréstimos e Financiamentos,373.422,119.520,,
17,2.01.04.01.01,Em Moeda Nacional,370.313,119.520,,
18,2.01.04.01.02,Em Moeda Estrangeira,3.109,0,,
19,2.01.04.02,Debêntures,416.918,235.868,,
20,2.01.04.03,Financiamento por Arrendamento Financeiro,,,,
21,2.01.05,Outras Obrigações,501.805,347.793,,
22,2.01.05.01,Passivos com Partes Relacionadas,,,,
